,BTC,ETH,BNB,XRP,ADA,DOGE,DOT,BCH,LTC,UNI,LINK,MATIC,XLM,SOL,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.22721331649265,0,-0.0873151544828843,0,-0.183638859654103,0.341931252909113,-0.197752865763296,0,0.32076011485726,-0.116818863276493,0.110508107572459,0.032821843852682,-0.143982012453069,0,0,0,0,-0.247891461187591
ETH,0.0662670077022471,0,0.36132674284735,-0.138734080414144,-0.111773101242736,0,0.185818068824633,0.182661105982212,0,0.159484854044929,0,0,0,0,0,0,0,0,0,0
BNB,0,0.537521716528316,0,0.219815246303829,0,0,0,0,0.134686829796588,0.274008866120817,-0.283793017599633,0.0208282909438684,0.0908475841142625,0,0.043778765406442,0,0,0,0,0.0601019612684984
XRP,0,0,0,0,0.063451695169981,0,0.213281692405039,0.323385349624898,0,0,0,0.0139790340892739,0,0.24853155394058,-0.0520947180137234,0,0,0,0,-0.0599618290599944
ADA,0.0777949326266254,0,0,0,0,0.117960046876686,0.299024267314946,0.127152090919043,-0.0967578137853256,-0.025933790308603,0,0,0.266242541781403,-0.0309425789853122,0,0,1.13673187493126,0,0,-0.0359951415852888
DOGE,0,-0.185288219385863,0,0.788832260778227,-0.140231131273282,0,0,0,-0.624436070693672,0.790406871430615,0.962729786980072,-0.484959110718786,-0.270186918936268,0,-0.176424504398638,0,0,0,0,-0.680153846003134
DOT,0,0,0.114934938346399,0,0,0,0,0.280878992276573,0.167215942454357,0,0.162711796781759,0.0748751724971781,0.0476008917414587,0.178366310844697,0,0,0,0,0,0
BCH,1.20675431879584,0.0522162094839803,-0.340268622595669,-6.93889390390723e-18,0.0307321128549694,0.118999979913106,0.473061141355888,0,0.927911330039885,0,-0.877376292762836,0.205991745810716,0.0494912438440069,0,0.191742786714261,0,0,0,0,0.441542476381687
LTC,0,0,0,0.105805858535549,0,0,0,0.186102794557649,0,0,0.413459454794023,0,0.248212400761496,0,0.0440564804606462,0,0,0,0,0
UNI,0,0.0816337757859123,0,-0.379671762494526,0.0274259347812964,0.359131419228088,0.222279238871126,-0.363418609918215,0.215963631388499,0,0,0.270447520568267,0.457959030268267,0.0654119816128034,0,0,0,0,0,0.280516168887909
LINK,0.510644652277421,0.061644915879252,0,0,-0.0372792520496293,0.190362104509166,0.369645355216805,-0.286086866420011,0.395493391317538,0,0,0.0353661394183721,-0.01065265806968,0.048578743096349,0.0649456419576761,0,0,0,0,0.145777098282194
MATIC,-0.964034892349286,-0.605521098155374,0.969226532145746,-0.420538466621507,-0.0377583131772393,-0.459543950130587,0,1.19164451893984,0,0.622084557057312,0.111737250099286,0,-0.83579511255914,0.687611497254803,-0.344871239236536,0,0,0,0,-0.723118108098334
XLM,0.375538908605207,-0.462373019026921,0.586674672960258,0,0.469575690690398,0.0231473806584227,-0.102492684818079,0.195654903429982,-0.140290698238937,0,0,0,0,0.134938973175054,0.0921101349277259,0,0,0,0,0.000181902262713722
SOL,0,0.46729256736343,-0.485479555674503,0.714238908251222,0,-0.109664297671416,-0.393063975190646,0,0,0.441723027665455,0.295951078377281,0.204288784254395,1.38777878078145e-17,0,0.0435438913243517,0,0,0,0,0
ETC,0,0,0,0,0,0.150624293528059,3.46944695195361e-18,0.71004501840951,0,0,0,0,0,0,0,0,0,0,0,-0.00593148421965591
BV010082.Index,0,0,-0.0176464507591957,0,0,0,0,0,0,0,0,-0.00492357636130195,0,0.0110475599378456,0,0,0,0,0,0
CVIX.Index,0.162669384879616,0.00605841553471333,0.0335224003571149,-0.0575550582735344,0.230969227523003,0.0211603375781511,-0.0625414794173207,0.0549960131655377,-0.190206460399899,0,0.0972659244836973,-0.0190737967563406,-0.12084864528159,-0.0155188364023125,0,0,0,-1.53024843441488,0.980042563120085,0.196043371420817
DXY.Curncy,0,0,0,0,0,0,0,0.0164188527564187,0,0,-0.0123205738208629,0,-0.0112485824248811,-0.00667551507830082,0,0,0,0,0,0.0221775515323427
SPX.Index,0,0,0,-0.0092300724360321,0.00509541671325636,-0.0130342979173147,-0.00818167543370204,0,0,0,0,-5.42101086242752e-20,0.0118281783158741,0.00251344132476777,0.00862902239085256,0,0,0,0,-0.0840935409805635
VIX.Index,-1.11599594068192,-0.133095346887689,0.342680891817982,0.0418372646802401,-0.418056290458696,-0.263522626148755,0,0.443319729566615,0,0,0.145918236734798,-0.220506292205785,0.0169734995105027,0.324651975093397,-0.150146544709975,0,1.85486620850481,0,-4.1089538078337,0
