,BTC,ETH,BNB,XRP,ADA,DOGE,DOT,UNI,LTC,BCH,LINK,VET,SOL,XLM,FIL,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0963945682508947,0.0166855819997393,0,0,0.224987053061788,0,0,0,0,0,0,0,0.0556678988379364,0,0,0,0,0
ETH,0,0,-0.0821812067353447,0,0,0,0.486325248328927,0.0191628132394911,0,0,0.278990690017099,0,0.0196764020564186,0,1.73472347597681e-18,0,0,0,0,0.178043820603611
BNB,0,-0.311180883207547,0,0.0546811233060192,0.926960570838424,-0.100839636555502,0,0.406526213561041,-0.315524966831943,-0.163920689833692,0,0.319421437251179,0,0,0.402360061021959,0,0,0,0,0.3433665545771
XRP,0,0,0.224672945941328,0,0,-0.0391732879965274,0,0.0862343639174406,0.985001837597872,-0.104359880454151,0,0.0612264368129692,0,1.12261503063463,-0.775182158214615,0,0,0,0,0.0528469804740356
ADA,0.297389769300605,0,0.252309048167856,0,0,0,0,0.0640293241466986,-0.0229703500434616,0,0.271186089837917,-0.0142292091235346,-0.0720609127117867,0,-0.115537973542684,0,0,0,0,0
DOGE,0,0,0,-0.453428075921832,0,0,0,0,0,2.47269330413164,0,0,0,0,0,0,0,0,0,0
DOT,0,0.248030552379639,0,0,0.188679970243895,-0.0191451197985704,0,0.0188612235357925,0,0,0,0,-0.0660156685340834,0.232782986410872,0.165795747409629,0,0,0,0,-0.0408060346825462
UNI,0,0.581188423732222,0.0982432536983757,0,0,0.0370403742837898,0,0,0.0997833586261645,0,0,-0.157102240174045,0,0,0,0,0,0,0,0
LTC,0,0.0618446287999451,-0.126139627883716,0.182244443408633,0,0.0387100392188645,0.104973174623043,0,0,0.217027443704755,0.0235018345195601,0,0,0,0.283554584464084,0,0,0,0,0
BCH,0,0,0,0.0185166787948595,0,0.0921889170732765,0,0,0.220151915050619,0,0.288528652026166,0.0722055100152994,-0.113580626227374,0,0,0,0,0,0,0
LINK,-0.768971819515927,0.135268304679756,0.0815172634710279,0.0364174185671745,1.00626299225105,0.048994687508913,0.30013588326856,0,0,0.0204233077087159,0,0.0937354582479025,0.158226489327972,0,-0.0674573677493972,0,0,0,0,0.200485598344779
VET,0,0,0,0.252735153710858,0,0.06220325273649,0,-0.428218931145451,0,0.820821581237721,0,0,0,0,0,0,0,0,0,0
SOL,0,0,0,-0.11834171579654,0,0,0,0,0,0,0,-0.210889332760725,0,0,0,0,0,0,0,0
XLM,0,0,0.0850425555120966,0.447707675283134,0.0911992299983959,0,0.219109014510266,-0.127034428280889,0,0.10778979338585,0,0,-8.67361737988404e-19,0,-6.93889390390723e-18,0,0,0,0,0
FIL,0,0,0,-0.267599423402326,0,0.0204875720862477,0.440237756335887,0,0.520789462052239,0,0,-0.0542478411981221,-0.211849192970497,0,0,0,0,0,0,0.210082658465237
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,-0.00737819449343447,0,-0.00221137578394037,0,0.00208305700902345,0,0,0,0,0.0072333977815949,0,0.0116305668676298,0,0,0,0,0
SPX.Index,0,0,0,0,0,0.00118988286820757,0,0,0,0,0,0.00171293321165015,-0.00210258049275133,0,0,0,0,0,0,-0.090872155945111
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
