,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0747193221599993,1.03998550839078,0.04019155088714,0.223684223918492,0,0.0391955655059201,0.0155263243964806,0,0,0,0,-0.17196843913281
XRP,0.18240213643452,0,0.0851170388919082,0,0,0.154232485026912,0,0.0880552647537063,0,-0.174186608592737,0,0,0
LTC,0.66333634029069,0,0,-0.0350832225141072,0.156387760910309,0,-0.0364480086749782,-0.0201854726688106,0,0,0,0,0.122839972126669
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0.106157845800907,0,0.444456686062378,-0.0591417673126261,0,0.067394228656611,0.0297422403436444,0.0711859957694789,0,0,0,0,0
XLM,0,1.04127929571703,0,0.0199307785768974,0,0,0.182640008072013,0.0213533430854265,0,0,0,0,0
XMR,1.48606279885702,-0.62117218992837,1.38777878078145e-17,-0.331544680574711,-0.820356190507814,0.348108770171079,0,0.173087090209528,-3.79562520108541,0,7.28133016103124,0,0.232895240110136
DGB,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0.0170720845092651,0.0213524948532722,0.00515145425096946,-0.019870088544864,0,-0.0201359903225356,0.00296945103463057,0,4.33680868994202e-19,0,0,-0.082073980769218
VIX.Index,-0.401608954554727,0.232669059255943,0.736379307959725,0.0527726642009619,-0.210501794718525,0,-0.174003748220443,0.0311828164452337,0.0790252055366784,0.108252561300138,0,-9.17278706933922,0
