,BTC,XRP,LTC,DASH,XLM,DOGE,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0279371850432793,0.561385170685626,0.076485536142551,-0.0129591581331479,0.2159972712891,0.0856802414835286,0,0.0325043670491091,0,0,0,0,0
XRP,0,0,0.391705782924638,0,0,0,-0.106582931932959,0.0300592921112267,0.1876605355186,0,0,0,0,0
LTC,0.624268305646229,0,0,-0.049391604204122,0.0202125810749423,0,-0.019202959229203,0.0356427153372091,0.034514426308079,0,0,0,0,0.0681466657132604
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,-0.117180625951886,0,0,0,0,0,0
DOGE,0.729436920191144,-0.100172311569606,0,0.0340748735039576,0.102086753886951,0,0.0446179241350049,0.00855819983252681,0,0,0,-0.853415108377552,0,0
XMR,0,0,0,0,0,0,0,-0.158129700732988,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0.210608554602358,0.489593032757386,0,0,0,0,0.206313451957044,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,-0.00401907968640559,0.042173135991862,0,0.0229281179808249,0.00686505765293825,-0.0200791570279775,0,0,0,0,0
SPX.Index,0,0.0252006371149763,-0.0504277167774727,-0.0129896062115484,0,0,0,-0.0029222076597568,0,0,0.0188051629698862,0,0,-0.0928488928631306
VIX.Index,0,0,0.256277698722658,-0.0746119606242885,0,0,0,-0.00892402309226863,-0.0848435781063206,0,0,0,-2.32315248461862,0
