,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0467066392302962,0.0623302325569338,0,0.0325147386325785,0.0916750395260222,-0.0479768239350194,0.0767472132994792,0,0,0,0,0,-0.0675192854716151
XRP,0,0,0.22195991148952,0.400009798396564,0.0503752601000959,0,0.232364575315042,-0.88615301782001,0.0191760079677827,0.836184207242796,-0.186661318007854,3.15965933695529,9.30284284524524,1.08777721327551
LTC,0,0,0,0,0.0411291750688013,0,0,0,0,0,0,0,0,0
XLM,0,0.328762805308003,0.246532831209348,0,0.117554426338781,0.32473949728884,-0.24857556198863,0,0,0,0,0,0,-0.357535518436354
DOGE,0,0.0244262925700166,0,0.134783103974451,0,0,0.114245721971571,0.999307103803898,0,0,0.648462517813511,0,0,0
DASH,0,0.0645261402834185,0,0.243224434970066,0.000183517353550627,0,0.137691592029449,0,0,0,0,0,0,0
XMR,0,-0.0229266614458835,-0.137547846239096,-0.378115024731474,-0.1029207811686,0.448246423771223,0,0,0,0,0,0,0,-0.801989670901614
XEM,1.6450195116866,-0.307635195476767,0.177327882597312,0.113767043404551,0.00287010997853837,-0.547835348152266,0.183653896556762,0,0.282788234948034,0,-0.154437068043394,0,8.32819412902869,1.16213236191772
DGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0079681445103831,0,0.0140092413994729,0,0,-2.71050543121376e-20,0.0174312257768447,0,0,0.09546965423,0,0,0.028942367883248
SPX.Index,0,0.0305459966156796,-0.020893154662938,0,0.00228137972345231,0,0.000903727563866645,0.0323874356291189,0,0,0,0,0,-0.0892453593777151
VIX.Index,-0.0285633991823284,0.0700066578432984,-0.142906100662671,-0.277444948357698,0.114345532019137,0,-0.17773662294456,0,0,0,-0.0134478408184237,0,-2.51778131046535,0
