,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.101269519901384,0,0.122053314710218,0,0,0,0.138079742713716,0,0,0,0,0.0514915987373647
XRP,0,0,0.186035107046257,0,0.397383884032278,0.0805017932770156,0,0,0,0,-0.576624189362376,0,0,-0.138288599534559
LTC,2.3353649898944,0.200593031181197,0,0.16174863179787,0,0.232058760531353,0.110138058217752,0.611368117662934,-0.496562819554216,0.202617416569639,0,0,0,0
DOGE,0,0.282346238113294,0.286694364860066,0,0.318401444868301,0,0,0,0,0,0,0,0,0
XLM,0,0.307695460552544,0,0.221822669176123,0,0,0.352818174509229,0.111979091702468,0.106371622885983,0,0,0,0,0.0460827204870654
DASH,0,0.0562325391962732,0.137966568512189,0,0,0,0,0,0,0,0,0,0,0.0705017439910831
XMR,0,-0.0233961586697231,0.0741632576105335,-0.180620227250474,0.0455001178195397,-0.189010964313018,0,-0.195212998420089,0.836114349353988,-1.6036047783853,0,0,0,-0.0843240013356069
XEM,0,-0.409707272915601,0.440596210826391,-0.322109511315096,0,0,0,0,0.62092362180975,0,-0.0254777828209016,0,0,0
DGB,0,0,-0.0101965259361302,0.174795687559381,0.0521835714569167,0,0.256592550688086,0.18317543150719,0,0.554821684328203,0,0,0,0.0254293927854185
BV010082.Index,0,-0.150271893732244,0.0122591883373873,-0.0335283934293063,0.106974040179002,-4.33680868994202e-19,-0.171871683677953,0.0188141467100518,0.132989989931401,0,0,0,0,-0.104618053408136
CVIX.Index,0,0,0,-0.0883139295707195,0,0,0.0434008778519225,0.00663086855971859,0.00405090599012141,0,0,0,0,0.179699672866588
DXY.Curncy,0,0,0,0,0,0,0,1.00502640678193e-05,0,0,0,0,0,-0.0154595913801041
SPX.Index,0,0,0,0.000131058812749311,0,0,0,0,0,0,0,0,0,-0.0711925668357045
VIX.Index,0,-0.160019230664388,0.217666443389312,0.196568783525854,0,0,0,-0.0602790200170641,0.0458558271796564,-0.600085269801662,0.424824251420523,0,-5.40575686817363,0
