,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,DGB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0788242546233908,0,0,0.161340508339567,0,0.0874681896994089,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.0613113379379413,0,0,0,-0.0133853133386957,-0.00751213134327358,0,0,0,0,8.67361737988404e-19
ETH,0,0,0,0,0,0,0.626844232834668,0.804672086544579,0,-0.227448598246962,0,0,0,0,0.17422812828925
DASH,0.454308407427744,0,0,-0.108935272515564,0,0,-0.106645701429903,0,0,0.0563483403831254,0,0,0,0,-0.289948812026329
DOGE,0.205993514759742,0.150721124089723,0,0.00494392816085054,0.0338253769010144,0,0.0873935903007134,0,-0.00195044961500277,0,0,0,0,0,0.0143149434452519
XLM,0,0.343416653510848,0,0.120416948754628,-0.599520206277081,0.407426304465054,0,0,-0.0375136103584415,0.223352249649354,0,-0.747409046766706,0,0,-0.265852898346564
XMR,0.776127893388641,0,0,0.0797087694088228,-0.129556970439404,0,0,0,0.00755186039421537,0.0239309818861219,0,-0.110891233525626,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,1.41559179190127,0.82574542915032,-2.92957703248137,-0.400086357171398,0.249106186515337,-0.360800138813722,0.212886329863659,0,-0.167925006865058,0,0,-0.99573930942529,5.24301336851513,0,0.481010619368163
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,-9.15733079921241e-06,0,0,0,0,0,-0.0708734045590321
VIX.Index,0,0,0,0.137629971841049,-0.599772511135199,0,-0.123959079730687,-0.0590128296755991,0,-0.0361911494107261,0.974507396619803,0,0,-5.76622532162557,0
