,BTC,LTC,XRP,ETH,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.686093384997563,0,0.16722287432755,0,0,-0.0662062085228914,0,-0.000423061869827722,0,0,0,0,0,0
LTC,0.733691189808073,0,0,-0.0947755378835072,0,0.154647767082511,0.212810089276496,0,0.0165253374691509,0,0,0,0,0,0
XRP,-1.73472347597681e-18,0.253992123365257,0,0.0528305422944603,0,0.220151441673844,0,0,0.00624681664302843,0.00519822926326442,0,-0.129213381523038,0,0,-0.0514935667475562
ETH,1.7162982990998,-0.590906218203657,0,0,-1.18879446284459,0.141039594038804,0.122331378457305,0,-0.135618849955012,0.37226558205044,0,0,0,0,0.148218582035477
DOGE,0.160827659374527,0.292374300246831,0,0,0,0.105887042624372,-0.326370655882484,-0.156567936935838,-3.46944695195361e-18,0.159320788402926,0,0,0,0,-0.0652093831966352
DASH,0.133713247270631,0.0485324550706855,0.986922189467601,0,0.254387362980388,0,0.245121996187258,-3.46944695195361e-18,0,-0.109207242919046,0,0.826955666237734,0,0,0.219895008056191
XLM,-0.531014390386442,1.13889424201294,0,0.247783554045443,-0.789588584751722,-0.051678215110761,0,-0.309188214348651,-0.101355973924978,0.0341870226848492,-1.02037630245739,0,0,0,-0.129660527951397
XMR,-0.564726035626907,1.15205311167485,-0.826160919062269,0.228360276813578,-0.821950291656909,0.302499324473185,-0.500966580190398,0,-0.0101847124007877,0.14370731290043,0,0,0,-2.61082369516005,-0.467264833081389
XEM,0,0,0,0,0,0,0,0,0,0.743609145686349,0,0,0,0,0
DGB,0,-1.51429090786826,1.3884395998915,0,2.13017576256847,-0.163634636497591,0.953129179795301,0.882581242421176,0.330260097563776,0,0,-1.30255171704428,0,0,0.252581728024771
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,-0.00450787608636648,0,0,0,0,-0.0082870972385885,0,0,-0.00176315651372539,0,0,0,0,0,-0.0243932606596072
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0658276035191483
VIX.Index,-0.00879843328036772,0,0,0.0141222306039303,0,0.0311111317469691,0,-0.0119991356958803,0,-0.000907135196221085,0,0,0,-6.83408761224522,0
