,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XEM,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00675677619219692,0.735087181402121,-0.0322097321023025,0.0613584610121208,0,0,0.123821040152086,0.0422184567128612,0,0,0,0,0
XRP,0,0,0.10900008512741,-0.228106095226687,-0.235406675733919,0,1.22354609443432,-0.0672528116825034,-0.188718862197491,0.44661927584902,0,0,0,0,-0.0960279597414527
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.577915080145438,0,0,0,0.00271119193517227,-0.0141151688889217,0.0717695950160846,0,0,0.00567276904032519,0,0,0,0,0
DOGE,0,-1.2629819331973,0.332803927233193,0.77411063018647,0,0.104295371939653,2.52901662474634,-0.295001231575055,-0.398689336656219,0.246698618085036,0,0,0,0,0.0143857801155542
DASH,0,-0.181326079983604,-0.161137123139785,0,0,0,0,0,0,0.427314975035208,0,0,0,0,0.481827533750005
XLM,0,0.52405116448569,-0.0895108881210266,0,0.282083117726668,-0.0563229422366696,0,0.0706184550299557,0.133260286598703,-0.142418178031755,0,0,0,0,0.0540314840630406
XEM,0,-0.18105374204299,-0.313802587801967,0.816847404962977,-0.563720940082207,0.292769475168747,1.6335490985348,0,0.215969723273489,0.21797178702566,0,-2.28471353297302,0,0,0
XMR,0.397677154164205,-0.220093848847648,0,0,0.0279828976491899,-0.326568380768313,0.335844805855026,0.115126286679694,0,0,0,0,0,0,0
DGB,0.445701563389104,0.51888031216492,-0.083383897050429,0,0,0.233428853057426,0,0.0617063922628186,0,0,0,0,0,0,0
BV010082.Index,0,0,0.0369081602514066,0,0.0243710588762275,-0.00592891599358697,0,0,0,-0.0228669807095618,0,-0.197060453209182,0,0,-0.0303110809755132
CVIX.Index,0,0,0.000578175570578026,0,-0.0665979334816902,0.0255847350937313,0.160101161339159,-0.0525956119195153,0.0861174065757131,-0.0439458184550952,-0.509209776164958,0,0,0,0.104103945824718
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0.0134951283967457,0,0,-0.00111798853196575,-0.00365476852835256,0,0,0,-0.00686698020202042,0,0,0,0,-0.179680484439493
VIX.Index,0,-0.0638938136327081,-0.0393933070361329,-0.135945806831872,0.0399853975996367,0,0,0.0248775956234982,0.00998399262428181,-0.049180754091904,-0.16517523005006,0.18115315000023,0,-4.1856732889838,0
