,BTC,ETH,XRP,LTC,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0629439809107037,0.123068638509888,0.124676673928861,0.0977392767691904,0,-0.0656251760269382,-0.0672555264823294,0,-0.0642147678110093,0,0,0,0,-0.0632105397474181
ETH,-1.80973806487395,0,0.87225464076042,0,0.501034035528807,1.44057063430075,0,0.760612231124029,-1.01285809107145,0.136610331315291,0,0.583580977742111,0,0,0.234354919668438
XRP,1.46680314806774,0.164110751210717,0,-0.322843146420581,-0.542878724596507,0,0.307437526791644,-0.0581510273733896,0.239013471234343,0,-0.0950985969810677,0.600786172565894,0,0,-0.0479734258866773
LTC,0,-0.0733886235048836,0,0,0,0,0,-0.0644306919779019,0,-0.118685229732799,0,0,0,0,0
DASH,0,0.113782070241092,-0.261009936485207,-0.156019802899722,0,0,0,0,0.146837639061285,0.0480507657530678,-0.546572492688569,0,0,0,0
DOGE,0,0,0,0,0,0,-0.0461136856280464,0,0,-0.130116422377757,0,0,0,0,-0.0471102826765271
XEM,0,0,0.189195839832093,-0.242656295469106,0,-1.48620559109732,0,0.202164384008007,-0.462204760481616,-3.46944695195361e-18,0,-1.085128484871,0,0,-0.164217538258032
XMR,-0.083781502817087,0.519212922758866,-0.472336831140589,0,0,-0.45671974712917,0,0,0.546169427562012,0,0,0,0,0,-0.112723405573244
XLM,0,-0.123731879628992,0.0800954381853643,-0.204689103220541,0.154596380654545,0,-0.101023360321801,-0.00751093950659553,0,0.0868400069371257,-0.341409141321141,0,0,0,-0.151258672866123
DGB,-2.35574168088789,0.0357719392340518,-8.39844412829065e-05,0,0,-1.13943053293157,-0.0325037918643878,-0.291012633460485,0,0,-1.52691259137026,0,0,0,-0.473159359796558
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0494860359960786
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,-0.000179802220789281,0,0,-0.00701522112913277,0,0.017609679037185,-0.0162387680611556,0,0,0,-0.013992517235255,0,0,-0.0970455342657205
VIX.Index,0,0,-0.160773866172134,-0.0472374576040986,0.0882653963377527,-0.0528475087947935,0,0,-0.19108212652478,-0.105036903231446,0,0,0,-4.4292529022232,0
