,BTC,ETH,LTC,XRP,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0421745851813918,0.357322008447219,0,0,0.062227434314069,0,0,0,-0.042694564638695,0,0,0,0,0
ETH,0,0,-0.313914336241996,0,0.669373198627487,0,-0.284395132561493,0.0734045214750771,0,0,1.12901096374343,0,0,0,0
LTC,0.373812282163786,-0.129895289801185,0,0,0,0,-0.0455916533214655,0,0,0,0,0,0,0,-0.146337741345697
XRP,0,-0.0141730954383432,0.0732535192414594,0,0,0,0.071972904675104,0.00184590473895208,0,0,0,0,0,0,0.134531018504032
DASH,0.379445248060578,0.164219420939944,-0.404971858839698,0.860022482757245,0,-0.224462732863933,0,0.25032441704118,-0.488665035978711,-0.0303734225257885,0,-0.165369113116541,0,-3.36442395376825,-0.48712668616351
DOGE,0.150922967239496,0,0.14165657014255,0,0,0,0,0.106797064185922,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.442877428368299,0,0,0,0,0,0,0
XMR,0.00946001346036858,0.0632440911845776,0,0.0971615355401344,0.241761175987202,0,0.207129664614751,0,1.48437459958417,0,0,-0.475957167225674,0,0,0
XLM,0.182970898284845,0.157400080970238,0.0315975573663074,0,-0.117859866775589,0.060967901358466,0.0934383628582062,0.150535888776136,0,-0.0466870022149796,-0.322388077775706,0.561006290322993,0,0,0
DGB,-0.989736989296344,-0.0483056801754583,0.184958285335126,0,0,0,1.73472347597681e-18,0,0,0,0.418732827418356,0,0,0,-0.34204579154432
BV010082.Index,0.549778950802023,0.21553636364821,-0.084441727325177,0.166030478606787,-0.156981927336984,0.171313142044245,0,-0.0131585320306681,-0.29345763177409,0.198620063408477,0,0.442255135219355,0,0,0.0756969808445337
CVIX.Index,-0.184451796581091,-0.106643990005453,0,0.0976201145326647,0,-0.178353168063068,-0.160175488600046,-0.120412481917835,1.04812420631402,0,0.25098069354274,0,0,0,0.0616263732591479
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,-0.00725144340328007,0,-0.00442802556538622,0,0,0,0,0.00424536437432825,0.0509206109842363,0,0,0,-0.134046997629016
VIX.Index,-0.307332666283999,0,-0.129941381334144,1.06088788439409,-0.112003054529403,0,0,0.130958561104317,0.102989407144538,-0.0845293182353961,0.167769326791659,0.212519049038039,0,-2.78720165073572,0
