,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,-0.0316633383329385,0,0.0520409966333566,0,0,-0.0235244815223259,0,0,0,0,-0.0121018620511484
ETH,0,0,0,0,0,0,0,0,0,0.0790543351933761,0,0,0,0,0,0.117257401553684
XRP,0,0,0,0.660332236258543,-0.186782005716037,0.189280949978224,0.17062628769612,0,-3.46944695195361e-18,0.383579978227006,-0.347334266109655,-0.641069276499303,0,0,0,-0.0288276079162369
LTC,0,0,0,0,0.0268586261571156,-0.0153443624393342,0,0.0286742542544355,0,0,0,0,0,0,0,-0.0415237232692066
ETC,0,0,0,0,0,0,0,-0.0936484204996141,0,0,-0.195639225600022,0,0,0,0,0
XMR,0,0,0.424696441202534,-0.540895444328615,-0.00489376945299294,0,0,0.23044245149788,-1.64694105118963,0.0202435038836676,0,0,0.528831631641159,0,0,8.67361737988404e-19
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,-0.0558121474331675,-0.132807132130294,0,-1.00109419836826,0,0,-0.145103313129607
DOGE,0,0,0.0227063979532715,0,0,-0.113609222978812,0.267661728624568,0.0987453701629747,0,0,0.018073963934989,-0.589559373805734,0.389328681555066,0,0,-0.0968526850035221
XLM,0,0,0.36677306319692,0,0.130427443212665,0.284939705075464,0,0,0,0,0.204944620209804,0,0.673443125009392,0,0,-0.268802796396875
DGB,0,0,0,0,-0.44912304334278,-0.0377459561705216,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,-0.0494588368989203,0,0,0,0,0,0,0,-0.0508282278466242
CVIX.Index,0,0,0,0,0.0192541332722415,0,0,-0.127909838014136,0.0988563463729701,0,0,0,0,0,0,0.0758369233279492
DXY.Curncy,0,0,0,0,0.00982785870160599,-0.00725844869068302,0,0.0126925602436626,0,0.00175695226510395,0.0381022443994337,0,0.0952860984413162,0,0,-0.00190203101565408
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.064852859168262
VIX.Index,0,0,-0.0727748794807571,0,-0.128335223499937,3.46944695195361e-18,0,0.221765597631939,-0.131077577010537,-0.148079759578905,-0.187564867623249,-0.725036858875026,0.358078832002059,0,-7.00026726766472,0
