,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,-0.112744075496801,0,-0.077839358018358,1.27375353845275,0.238299025103171,-6.93889390390723e-18,0,0,0,-0.140559838861715,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,-0.278350844003074,0.00430254425193126,0.11528326994258,0,0,0,0.133134713562072,0,0,0,0,0
LTC,0,0.0785266147181927,0,0,0,0,0,-0.0768914613197781,0,0,0,0,0,0,0,0,0,0
XMR,0,0.341464348415402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0.328520097281799,0,0,0.332013640522088,0,0,0.0593624344676553,0,0,0.14460333585611,0,0,0,0,0,0,0
XEM,0,0,0.249836088398329,0.166243284305161,-0.131361020425968,0,0.0366326973000304,0,0,-0.293697981244309,0,0,0.268390205328944,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0.0601221201016185,0.0378062236412186,0,0.096684296132407,0,0.258799401861534,0,0.119190973810773,0,0,0,0,0,0,0,0,0
XLM,0,0,0.156783995132653,0,0.211005916792009,0,0.152774047677419,-0.100739697436683,0.0196624869420492,0,0,0,0.344244592520751,0,0,0,0,0
NEO,-0.0735472554838935,-0.0549100250259036,-0.0471563818694493,0.104899107921365,-0.00848895893977321,-0.296718972243413,-0.10596553427982,0,0.19175517934506,0,0,0,0.389838271039097,-1.51028859386058,0,0,0,-0.200672181615952
DGB,0,-0.129108660403463,-0.289380879268779,0.211477208971704,-0.172673708972829,0,0.12566248628908,0.366105515381195,-0.439110217586453,0.364248556892545,0.414738379201667,0.0859243373778399,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0.00516461163958319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
