,BTC,ETH,XRP,LTC,XEM,DASH,ETC,XMR,XLM,DOGE,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,-0.0505794667167704,0,0,0.125988859943141,0,0,0,0,0.400002756881019,0,0,0,0,0,0
XRP,0.956285238497856,0,0,0.131951209026558,0.39058962023801,0,-0.401437325880527,0,0.201480357887048,0,0.947887054930478,0.0332353605917693,-0.400553623357805,0,0.571000464422741,0,0,0.485121014282812
LTC,0,0,0,0,0,0,0,0,0.0784975884545092,0,0,0,0,0,0,0,0,0
XEM,0,-0.797104600512689,0.654583716623196,-0.0930602273063902,0,-0.166672251825347,0.768957501960354,0,0.0640860081791959,-0.121953276541414,0,0.122466737477184,0,0,-0.840824118836775,0,0,-0.469785745929026
DASH,0,0,0,0.0603151421936599,0,0,0,0.340528228683821,0.0412760852446607,0,0,0.0335810726355261,0,0,0,0,0,0
ETC,0,0.13903754785747,-0.338137047464327,-0.092876308629475,0.249419545015232,0.373142676033019,0,-0.492521272467804,0.00788295251242999,0,0,0.28380854150954,-0.219878285355692,0,0,0,0,0.389075050417469
XMR,-0.170160693655665,0.444908975675625,0,0,0.0760668588950851,0.561215241637843,-0.306075444322795,0,0.0727892381857723,-0.0298215860911268,-0.494771971928928,0.120245124330825,-0.108166346073139,0,0,0,0,0
XLM,0,0,0.464723010832508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0.159840476451601,0.103234573358257,0,0,0,0,0.05990244932137,0,0,0,0.13160456897249,0,0,0,0,0
ZEC,0,0.258927437712383,0,0,0,0.208381032443162,-0.0669036833399862,0,-0.0427097155457449,0,0,0.0967330917167427,0.135291336583584,0,-0.135100009779616,0,0,-0.0638023154508977
NEO,0,0.588247638490378,0,0.349962616110703,-0.0338911511925103,0,0,0,-0.0288491791851526,0,0.678482119709441,0,0,0,0,0,0,0
DGB,0,0,0,0,-1.0842021724855e-19,0,0,0,0.50756524849745,0.0428271050722913,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0.0686943008750933,0,-0.0782114426108499,0,-0.020346887786299,-0.0258881587078517,0.0176215907411028,-0.019389897235875,-1.73472347597681e-18,0.051634000686501,-0.0039957785959678,0,-0.201094492074823,0,0,-0.197494090490996
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0242930570813354,0.0083940711391672,0.00501676081171636,-0.00494806936877428,-0.00236537205957699,0,-0.00488419803762999,-2.71050543121376e-20,-0.00500318618333384,0,-0.00809749426129666,-0.0033665637073395,0,0.00984406481760579,0,0,0.0286192227112714
SPX.Index,0,0,-0.00217801423553838,0,0.00186799940384534,0,0.00205226284205016,0,0,0.00503506713628767,0,-0.00083040361796139,0.000360223376133224,0,-0.0173123318408774,0,0,-0.0415913026836938
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
