,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,ZEC,EOS,NEO,XLM,DOGE,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.0595338596449193,0,0,0.023438380307858,0,0.0317020889485911,0.0229818937026336,0,0.0437191508073626,0.0557331991717673,0,0,0,0,0
ETH,0,0,0,0,0.383914175773986,0.127718227800348,0,0,0,0.234996706471531,0.0535314121639668,0,0,0,0,0,0,0,0,0
XRP,0,0.230771455968321,0,0,0.147731044348571,0.0325081079639757,0,0,0,0,0.0289719225806846,0,0,0.253538792450706,0,0,0,0,0,0
LTC,1.44886554702132,0,-1.07112553760907,0,0.17681440844744,0.0193454775117102,0.523386750778858,0.250592297229685,0,-0.0111122262662713,0,-0.122845299186122,0.098201457374032,0.0956772190941574,-0.170346276773946,0,0,0,0,0
ETC,0,0.240448686783739,0,0.121085149267575,0,0.0712633063059291,0,0,0.0754504782655239,0,0,0,0,0,0,0,0,0,0,0
DASH,0.447376601945839,0.0843664061714733,0,0.0488282892318402,0,0,0,0,0.166146603618095,0.0736951259054181,0.0244054382328758,0,8.67361737988404e-19,0.189572080632966,0.0164382483370826,0,0,0,0,0
XEM,0,0,0.587136858596342,0.205419097121957,0,0,0,0,0,0,0.0687429820229634,0.10058952240617,0.0520346817771842,0,0,0,0,0,0,0.0430360912027859
MIOTA,0,-0.306381651217184,0,0.646249203271072,0.107289887210848,-0.189943529715333,0,0,-0.517351053735367,1.34588111771708,-0.0466403745780564,0,0,0.150226015345324,0,0,0,0,0,-0.36585317582027
XMR,0,0.160122781751406,0,0.252978462785004,6.93889390390723e-18,0.222095970215048,0,0,0,0,0.0212267185256855,0.0409724934380355,0.0869387948715633,0.0485562711222682,0,0,0,0,0,0
ZEC,0,0.574421552346802,0,-0.122750251037822,0,0,0,0.30666030608414,0,0,0.0211073967081439,0,0.107323754674815,0,0,0,0,0,0,-0.0609582310534684
EOS,0,0,0,0,0,0,0,0.146914187468272,0,0,0,0.131610274467692,0,0,0.33719070051925,0,0,0,0,0
NEO,0,0.22137031160322,0,0,0,0.324848039149992,0,0.351858074902009,0,0,0,0,0.138672151620921,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.392685716518716,0,0,0,0,0.278031546478523,0,0.108446349402407,0.387115308657031,0,0,0,0,0
DOGE,0,0,0.511669318952718,0,0,0.387174943645146,0.00918370767770432,0.0808663046401898,0,0,-0.0704984485313932,0.0319698235248306,0.0297417043166308,0,0.0108261493962378,0,0,0,0,0
DGB,0,0.216996401264639,0,0,0,0,0,0,0,0.345199780141096,0.0334282911209935,0,0.263417601399648,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,-0.00707950709321227,0.0079015303984627,0,0,0.00757940071084178,0,0.000725164709800605,0,-0.0154673499251972,-0.00211991510239646,0.00490498017214349,0,0,0,0,-0.0284998689119337
SPX.Index,0,-0.00246871172850654,0,0,-0.00460673758879286,0,0,0,0,0,0.000516823100417413,0,0,0,0,0,0,0,0,-0.0627818170401511
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
