,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,NEO,MIOTA,ETC,ADA,XLM,ZEC,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.14349760276702,0,0,0.440625240012179,-0.261768342309847,0,0,6.7762635780344e-21,-0.0127042561804303,0.215249851635607,0.126291248898358,0.0118438292497133,0,0,0,0,0,0,-0.0375894468557038
ETH,0,0,0.0708917622476779,0,0.103111458504422,0.0844604916491855,0,0.0831465533829469,0.147862042162454,0,0,0,-0.0131805282715422,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.10861751691623,0,0,0,-0.0583821565428935,0.267015819044936,0,0,0,0,0,0.134322555373714
BCH,0,0,-0.118355955102352,0,0.03750789553517,0.345967378192881,0,0,0.0212078788071528,0,0.115765870011056,0,0.0136342161708071,0.15596460248648,-0.0708714238775851,0,0,0,0,0
LTC,0.381151627658873,0,0.142136177512668,0,0,0.296777015590766,0,0,0.110098141764009,0,0.288322630716502,-0.0769462232951207,-0.00375924565001937,-0.0349287848983247,0,0,0,0,0,0
DASH,-0.113563614827664,0.491912822735939,0.0500155110220242,0,0,0,0,0,0,0.0193616559086461,0,0.087480807008526,0.00747651141591813,0.0307792319732169,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0.175177193392075,0,0.0480861106212559,0.116089664149544,0.150001361280738,-0.133623259610826,0,0,0,0,0
XMR,0,0,0,0,0.138126659989983,0,0,0,0,0.156398519916501,0.107779884723781,0,0.00973539226951543,0.203916225097855,0,0,0,0,0,0
NEO,0,1.16281083700789,0,0.418919398772054,0.171585326292978,0,0,-1.34515790935046,0,0.607666781418145,0.814919275680961,0.0087054867520237,0.0635874734506063,0.602379132633291,-0.580400586678049,0,0,0,0,0.683861420155742
MIOTA,-0.164308983345708,0,-0.0282201892004251,0,-0.273005835656207,0,0.338832032195721,0.981554723702304,0.189611645061832,0,-0.81784948906807,0,0.00015685320579971,0,0.504887636736201,0,-0.704522232348525,0,0,0
ETC,0.0886740257449917,0.121269462509253,0,0,0.327429175196655,0,0,0,0.0458527833078762,0,0,-0.0498365199037664,-0.00270904677107077,0.329537548119325,0,0,0,0,0,0
ADA,1.35440618775178,0,-0.457976493118857,0,-0.740095413474439,1.41063849909508,0,0,0,0,0,0,-0.0892043437116764,-0.161992126109896,-0.00358937636028786,0,0,0,0,0.459412019690326
XLM,0,0,0,0,0,0,0.792966346596717,0,0.430812280101631,0,0,-0.138248701925833,0,0.0868324971344399,0,0,0,0,0,0
ZEC,0,0,0,0.329396690049048,-0.167530559193969,0,0,0.269901443572676,0,0,0.0300763529308021,0,0.00421512856890965,0,0.369101887490293,0,0,0,0,0
EOS,0,0,0.111979596303551,0,0.182157212268241,0,0,0,0.139384046963624,0.0353358308812172,0,-0.0638046432675602,0,0.267438841370947,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291091905055856,0,0,0,0,0
CVIX.Index,0,0,0.018244298726573,0,0,0,0.0258939214605057,-0.022336281914168,0,-0.0723405661714372,-0.0988956275976424,0.0390804754096054,0.0120776760763663,-0.0131670160566165,0,0,0,0,0,0.0766799036512778
DXY.Curncy,0,0.0196043943213632,-0.00800427604598471,0,-0.0223750222022992,0,0,0,-0.00373414405099006,-0.00259972435791362,0.01912482467939,-0.0125269500583351,-0.00232927781716916,0.00981596701789238,0.00537200638617862,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,-0.0163979100558829,0,0,0,0,-0.00714160995558759,0,-0.00599880212614905,0.00935436985793308,0,0,0,0,-0.0251215719191221
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
