,BTC,ETH,XRP,BCH,ADA,XLM,NEO,LTC,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.390106672504981,0,0,0.0255172209942739,0,0.0763447571535352,0.0754771499814864,0,0,0.061820714624147,0,0,0,0,0,0,-0.0907498875535244
ETH,0.105525791414832,0,0.0108610678391707,0.119962315238006,0.153331781674016,0,-0.102888062453437,0,0.106017414453496,0,0,0,-0.208896846779758,-0.148785233013351,0.602374082234645,0,0,0,0,0
XRP,0,0,0,0,0,0.213487235165457,0,0,0,0.0566229415867315,0,0,0,0.31363297592153,0.163843398938397,0,0,0,0,0
BCH,0,0.228468986467202,0,0,0.0184723007230263,0,0,0.130624134234845,0,0.0293694385434767,0.20938356113933,0,0.106187733768634,0,0.264933474502134,0,0,0,0,0
ADA,0,0.737745540970377,0.218909925427238,0.0537438379827575,0,0.365246082380175,0.227694872822675,0,0.0963271106155439,0.0128167336177324,0.135500146352316,0.126336343157621,0.361947494962908,0,-0.978571707114137,0,0,0,0,0.10284894534303
XLM,0,0,0.0577996211644648,0,0.684215239296492,0,0,0,0,-0.123687204878664,0,0,0,0.180879599414719,0.165016857350802,0,0,0,0,0
NEO,0,0,0,0,0.329137645342643,0,0,0,0,0,0,0,0,0,0.513643476071292,0,0,0,0,0
LTC,0.183421943765096,0,0.0727269095551805,0.355511618197155,6.93889390390723e-18,0,0,0,0.0536477738566518,0.0856838648519409,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.51582292900403,0.24975951559285,0,0,0,0.0563808294333023,0,0,3.46944695195361e-18,0,0.065635295105815,0,0,0,0,0
XEM,0,0,0.0931061511195712,0.0774879574671337,-3.46944695195361e-18,0.0755148921069177,0.139882702319177,0,0.222299486119186,0,0.0757836578606235,0,0.291543892668286,0.022358671697817,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0.0284247927741723,0.133255412126588,0,0,0,0.148420864658649,0.499575301432488,0,0,0,0,0
DASH,0,0,0.133870928461161,0.114982133023161,0,0.0955255117037339,-0.0842583789758805,0,0.166899228996747,-0.033357354850296,0,0,0,0.0744892318861007,0.2442403061825,0,0,0,0,0
XMR,0,0,-0.0306175580502914,0,0.259631582885823,0.0687713272651797,0,0,0.0159661651750659,0.0199530840502847,0.108779157234351,0,0,0,0.237714365534157,0,0,0,0,0
TRX,0,0,0.437680143739026,0,-0.301156945648477,0.558797375534312,-0.222508062305511,0,0,0.30556537593357,0,0,0,0,0,0,-0.121737905381042,0,0,0
ETC,0,0.598796405934376,0.185840835745235,0,-0.0375960549828003,0,0.172858657983746,0,0.026650745060731,0,0,0,0.190166228386973,0.101251690333464,0,0,0,0,0,0
BV010082.Index,0,0,-0.0129307726283232,0,0,-0.0402957482083432,0,0,0,0.0540359878085355,0,0.0361293304328276,-0.0210183982545463,0.0249886591076724,0,0,0.0905949605537626,0,0,0.0346510176871696
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0.00118796941621636,0.0105561197684878,0,0,0,0,0,0,0,0,0,-0.0232461136487733
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
