,BTC,ETH,XRP,EOS,LTC,BCH,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,MKR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0735201194586167,0,0.0541958130724771,0,0,0.061681075960919,0,0,0.0189655537694092,0,0,0,0,-0.0714156735687654,0,0,-0.0369524982002983
ETH,0,0,0,0.0733003541433665,0.0701305444900906,0.212887378269734,0.00693271909589404,-0.120377485403354,0.113075166716024,0,0,0.091973388449427,0,0,0,0,-0.0660818809536945,0,0,-0.0706232744772872
XRP,0.532273429531806,0,0,-0.0168720810955401,0,0.0128911010413233,0,0.184703400083213,0.0486233818656871,0.0949366946977831,0,0.115381751626329,-0.131239250698895,0,-0.129547520040638,0.0910822565894817,-0.0633673087347235,0,0,-0.0211242109728227
EOS,0,0,0,0,0.434650366151659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.205145510036067,0,0.129359781257483,0,0.211132277581024,0,-0.181950898503377,0,0.129609877658043,0.221050527182296,0,0.0672498422460016,0,0.112141672774458,0,5.42101086242752e-20,0,0,0
BCH,0,0,0,0,1.14394576521669,0,0.152358088654393,0.579714592183438,-0.0436682154536244,0.0411341370291729,0.119796000838131,0,-0.211942241800208,0.04062726420505,0,0,0,0,0,0.121002765853065
BNB,0,0,0,0,0,0,0,0,0,0,0,0,0.34594620203862,0,0,0,0,0,0,-0.0338691010937484
XLM,0,0,0,0,0,0.141448420913663,0,0,0.110597791266709,0.110971026768147,0,0,0.228921365246977,0,0,0,0,0,0,-0.113075992060719
ADA,0,1.31111466888603,0,0,0,-0.26101614823519,-0.0240639672856794,0,0,0.811454858206512,0,0,-0.240871759130574,0,0.893998429734959,0,0.393824173077735,0,0,0.0998347326601198
TRX,0,0,0,0.127223140719908,0.513507922255926,0,-0.0866376729767309,0.31192024278899,0.0860234243415855,0,0.700872939225456,0,0.120220185576168,0,-0.483031215384388,0,0.100175211345433,0,0,0.229465758245951
BSV,0,0,0,0,0.449138446770262,0.0260171185232577,-0.019519475666301,0,0.0194411569528355,0.0834917349529725,0,0,0,0,0,0,0,0,0,-0.0208909216983809
XMR,0,0,0,0.0168771354469522,0,0.222589796043147,0.0595800883522344,0,0,0,0,0,0.24149678689274,0,0,0,-0.0143175465598464,0,0,-0.0527612849626641
DASH,0,0,0,-0.00325223693027274,1.32164860167255,-0.978866949390635,0.249936442948749,0.71261197450855,0,0.325808725965136,0,-0.0574311104140968,0,0,0,0,-0.146683468202738,0,0,0
MIOTA,0,0,0,0.154161913061779,0.139782980765082,0,0,0,0.0633570650902451,0,0,0,0,0,0,0,0,0,0,-0.0360131591530443
MKR,0,0,0,0.111712285690188,0.514786986413538,0.0128152517633886,-0.0460117530691796,0.223616648477809,0.217688797290074,-0.643856629022102,0,0,0.0719511722279328,0.291689891882259,0,0.316092959649418,0.13960818803993,0,0,0.176291235725152
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035475571563807
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0.0228752215217187,0,0,0.00942233479494015,0,0.0260278574912604,0.00957174124452202,0,0,0.00782510885431773,-0.0659500521158438,0,0.0472068948393251,0.0381112866309382,0,0,0.00516032701344806
SPX.Index,0,0,0,-0.0361254481545248,0.0284135845047097,0,0,-0.00200926266098583,0,0,0,0,0,0,0,0.0242789907344948,0,0,0,-0.09942163445086
VIX.Index,0,-0.464956978442202,0,-0.49587714740959,0,0.22591462532749,0.0765478683374121,-0.845147280491759,0.245659621466811,0.8661325068117,-0.695216844572666,0.112679506852372,0,-0.106795228140214,0.208154851358634,0,0.0639897638779439,0,-5.68797664265057,0
