,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,XLM,ADA,LEO,HT,TRX,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.181856488607209,0,0,0,0,0.00588508492940152,0,0.257177495123438,0.07264241650062,0,0,0,0,0,0,0.177405170655443,0,0,0
ETH,0.150026435003051,0,0.214739214053834,0.0909932171306476,0,0.197654828507796,0,0,0,0,0,0,0.1810665214086,0.105318496909213,0,0,0,0,0,-0.0271109244757569
XRP,0,0.206863841823945,0,0,0.0666213424654254,-1.73472347597681e-18,-0.0635037623979947,0.0171758473380643,0,0.0158105317921027,0,0,0.0385277390312714,0.224025024176449,0,0,0,0,0,-0.0256221728127649
BCH,0,0.17351668688547,0,0,0.243455120532074,0,0.0971413352098449,0,0,0.0593551047674781,0,0,0,0.192880276182503,0.0480573852907945,0,0,0,0,-0.0306455079810903
LTC,0,0,0,0.465458816859479,0,0.0416732657131868,0,0,0.0600771636543335,0,0.151416441235526,0,0,0.0898329636770702,0.348280671097309,0.0993692233476618,0,0,0,0
EOS,-0.0834592583759027,0.820944694902017,0,0,0,0,0,0,0,0,0.225406760083572,0,0,0,0,0,-0.00164966475222481,0,0,-0.0179006067738466
BNB,0.112085498814187,0,0,0.768391981442833,0,-0.078408406160426,0,0,0.166836822930935,0.0536120272763672,0,0,0.163816485404636,0.0948806600213056,-6.93889390390723e-18,-0.281129328715598,-0.376703100276402,0,0,0
BSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266205630077705,0,0,0,0,0,-0.0750239991933023
XMR,0,0,0,0,0,0.160842319681732,0.181673411164511,0,0,0.0764213198135174,0,0,0.369931566181985,0,0,0,0,0,0,-0.0913959992075055
XLM,0,0.130040364913284,0,0,0,0,0,0,0,0,-0.288604450418331,0,0.0372703964281564,0,0.729170091376735,0.16288373044237,0,0,0,0.134904119213213
ADA,0,0,0,0,0,0.141881514236521,0,0.100315774693492,0,0,0,0,0.209016821793367,0.268954661018942,0,0,0,0,0,0
LEO,-0.223531925615623,0,0,0,0.373263697910782,-0.225155886196735,0,0,0,0.140405078157927,0,0,0,0.192493614190536,-0.117450452213375,0.0809530262519958,0.166524196611524,0,0,-0.0614515701960675
HT,0,0,0,0,0.263400945797826,0,0.0954556709605308,0,0.271616762339668,0.0625609240177509,0.164377877964329,0,0,0,0,0.188795966005158,0,0,0,0.114777879273631
TRX,0,0,0,6.93889390390723e-18,0.450587781638716,0.204961552741484,0,0.260831307946618,0,0,0.326558642723574,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.461496350175903,0.161910493819007,0.168497507592089,0,0,0.0466907017500846,0,0,0.0138844491485757,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142894727174974,0,0,-0.00927530536314391
SPX.Index,0,0,0,0,0,-8.67361737988404e-19,0,0.0176394436940543,-0.00440871502954454,0,0,0,-0.00447507347242463,-0.0229183361248119,0,0.0831185599612898,0,0,0,-0.0973395575353439
VIX.Index,0,0,0,0,0.465302637492199,-0.180502341568421,0,0,-0.423003133631305,0.156722215917278,0,0,0,-0.362423961916656,0,0,0.0849885978115122,0,-5.41259129442389,0
