,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,ADA,XLM,LEO,HT,TRX,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.493617547816059,0,0.118766906636621,0,-0.328030799116251,0,0,0.238619596270198,0,0,-0.170070186505617,0,0,0.153856346954731,0,0.195464848825251,0,0,-0.0255551551122544
ETH,0.0573024724632457,0,0,0.0637754789841829,0,0.144106830804305,0,0,0,0,0,0,0.100309881985073,0.355953700392162,0,0,0,0,0,0
XRP,0,0.20240627630913,0,0,0.0678767336945943,0.00327844364141024,-0.0646554077600506,0.0172115247423622,0,0,0.0160142613561348,0,0.0403755218859618,0.226336737239726,0,0,0,0,0,-0.0258537567442831
BCH,0,0.132783108939484,0,0,0.346776017161211,0,0.128925853193178,0,0,0,0.0530731280779937,0,0,0.0522131268509204,0.111147455745285,0,0,0,0,0
LTC,0,0,0,0.542403916700529,0,0.107385495646575,0,0,0.070118721926365,0.111816722797685,0,0,0,0.257271339448758,0,0.183255007164218,0,0,0,0.041097642957478
EOS,0,0.418795201946668,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.060658952176141,0.132206448322752,0,0,0,0,1.73472347597681e-18
BNB,0.0501698959398337,0,0,0,0,-0.131854487596015,0,0,0.24725882239296,0.0043239872943386,-0.0104189002011124,0,0,0.71082281288749,3.46944695195361e-18,-0.246305071235643,-0.369409304054317,0,0,-0.105287678485048
BSV,0,0,0,0,0,0,0.00793160527774505,0,0,0.53459408378199,0.120040052497778,0,0,0.00617874675900639,0,0,0,0,0,-0.086786194467455
XMR,0,0,0,0,0,0,0,0,0,0,0.0571857163848977,0,0.428639031862225,0,0.423731655322252,-0.0238062199236975,0,0,0,-0.0405744775765401
ADA,0,0,0,0,0.250760467002905,0.112098450571156,0,0.398016687211823,0,0,-0.1845014995592,0,0.31462387254823,0,0.108892800312805,0,0,0,0,0.0685070637230258
XLM,0.353522452609406,0,0,0,0,0.300263836092736,0,0,0.0426395238821529,-0.104778699180826,0,0,0,0,0,0.173048222688908,0,0,0,0.0965342557507614
LEO,-0.386751073807958,0.351818326419961,0,0,0,-0.49913285435608,-0.144278637170177,0,0.170860627034047,0,0.109775848784853,0,0,0.530520318324956,0,0.188830417235387,0.048725065593273,0,0,-0.0441581456515998
HT,0,0,0,0,0.109603141535461,0,0,0,0.128024291875577,0.426782778661668,0.0855021530471561,0,0,0,0,0.0967432851574193,0,0,0,0.0363489945117532
TRX,0,0,0,0,0.351207624234435,0.266172008165487,0.111674412853108,0.162227045388111,0,0.0446306481520032,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.478868265823919,0.152132264274162,0.175574358128068,0,0.0250295449860424,0,0.0578217131974953,0,0,0,0,0,-0.00831913168338493,0,0,0.00766006666611628
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,-0.00721403660881234,0,-0.00129832696095485,0,0,0,0,0,0,0,0,0,0.0267524031094402,0,0,-0.0192400982026601
SPX.Index,0,0,0,0,0,-1.731343215483e-05,0,1.49233734538369e-05,0,0,0,0,-3.38638492098786e-05,0,0,0.097144172619589,0,0,0,-0.107802592253761
VIX.Index,0,0,0,0,0.110489131222715,-0.247312842299545,0,0.0707236248098515,-0.198959553750066,0,0,0,0,0,0,0.0585413578850007,0,0,-5.80412974964966,0
