,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,LEO,HT,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0567133702592228,0,-1.73472347597681e-18,0.47771062989466,0.427221638004359,0,0.134915175028616,0,-0.159984587925103,0,0,0.00612437115957104,0.00752854532243463,0,0,0,0,0,-0.0419773020842048
ETH,0.14042401009047,0,0.0373596770031224,0.155836249845955,0.206329436277577,0.0589957286761619,0,0,0.0766041496344846,0,0,0,0,0.123111472257443,0,0,0,0,0,0.0311998784027832
XRP,0,0,0,0.0832072007415788,0.0647953101883983,0,0.437651016280024,-0.0298313991955846,0,0.0410767073029081,0.0453253146849021,0,0,1.73472347597681e-18,0.106595292986715,0,0,0,0,-0.0589083989529419
BCH,0,1.30206653986803,6.93889390390723e-18,0,0,0,0,0.22103081868026,-0.27852417564309,0.00747745375522472,0,0.0324570769872395,0,0,-0.00747350186014782,0,0,0,0,-0.00280709817499638
LTC,0.143821018409021,0,0,0.0514648025676027,0,0.446937330414621,0.217327676196955,0.0215749026811738,0,0.0721955806638585,0,0,0.102074208825692,0,0,0,0,0,0,0
EOS,0.238882817995811,0.271173713877338,0,0,0.0145772622677359,0,0,-0.00235521977381744,0,0.145669068163918,0.0977475135469219,0.228834365156511,0,0,0,0,0,0,0,0.0583645399572892
BNB,0.0753069278690371,0,0,0.228150263641831,0.134762794647563,0,0,0,0,1.73472347597681e-18,0.298040599643736,0,0,0,-0.22496127961621,0,0,0,0,-0.130364391216691
BSV,0.722262689825915,0,0,0.35911118512777,0,0,0,0,0,0,0,0.0892003241421831,0,0,0,0,0,0,0,-0.0269377372214731
XLM,0.0821412778083684,0,0.390567823106225,0,-1.38777878078145e-17,0,0,-8.67361737988404e-19,0,0.163909982510359,0,0,0,0.0397351595695434,0,-0.253939456030574,0,0,0,0
TRX,0,0,0,0,0,0.640605139219433,0,0,0,0,0.251944831507615,0,-0.0604196546013767,0.229491288660673,0,0,0,0,0,0.10526560627843
ADA,0,0,0.0722499358820723,0,0.12889005601944,0.217507054202326,0.211768462538228,0,0,0.14966747846719,0,0,0,0,0,0,0,0,0,0
XMR,0,-0.124641855292538,0,0,0,0.880150813297534,0,0.109805305910622,0,0.140304133006883,-0.645473945301578,0,-0.123528147838526,0,0,-0.562430051516382,0,0,0,-0.165957325186897
LEO,0,0,0,0,0.477369063989499,0,0,-0.0242292771101663,0,-0.0988091266769792,0,-0.0605462813254505,0,-0.128869164391892,0,-0.407343037579793,0,0,0,-0.0906999317279667
HT,0,0,0,0.151029825131406,0,0,0,0,0.234511429826952,0.0692265368983802,0,0,0,0,0,0,0,0,0,0
LINK,-0.273202154247738,0,0.364456819832652,0.030036176395718,0,0,-0.762527021465823,0.46801116751704,0,0,0.28624530548254,-0.0604996881897454,0,0,0,0,0,0,0,0.0635524407828448
BV010082.Index,0,0,0,0.128684001803997,0,0,0,0.0426110483784803,0,0,0,-0.0974972069456024,-0.428116052195342,-0.0239248738648235,-0.108302517824203,0,0,0,0,-0.118658164015662
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,9.61576499235054e-07,0,0,0,0,0,0,0,0.0175173070102301,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,3.0059484597016e-06,0,0,0,0,0,0,0,0,0,0,0,-0.0476604254049435
VIX.Index,-0.264721681332474,0,-0.196337740254233,0.5458437262148,0,0.442701831243556,-0.172048751037974,-0.108077325685708,0.421119870288726,0,0,-0.402442195460782,-0.699483162198124,-0.493314467816964,0,-1.1416753772677,0,0,0,0
