,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,TAGZ5,XTZ,LEO,XMR,XLM,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0978463231558907,0.361510076113067,0,0,0,0,0.048145378359642,0.0505205214250309,0,0.0712074608840309,0.16302663668134,0,0.0911510694741242,0.0355722132235824,0,0,0
ETH,0.296861402939168,0,0,0,0.0506401550285022,0,0.0691753401892373,0.00285762914086859,-0.00104789530795167,0,0.315634280625421,0,0,0,0.144505327540011,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.155288406610197,-0.00440968695458826,-0.0167197591892598,0,0,0,0.244079013676862,0.409086681910328,0,-0.0580703466791635,0,0,0
BCH,0.0803965756524584,0,0,0,0.17964795997203,0,0.323868235031676,0.179547087453507,-0.00119395149358233,0,0,0,0,0,0.257022831987275,0,-0.00914718302797817,0,0,0.0245880072769842
BSV,0.57714897487157,0,0,0,0,0,0.70805349676024,0,0.00889216310839686,0,0.0747461796670012,0,0,0,0,0,0.0839252886047754,0,0,-0.0392114934495393
LTC,0,0,0,0,0.0293274532907252,0,0.122024405984263,0,-0.00568122547932934,0,0.184142206499671,0,0.00889567630528328,0,0.412065539718846,0,0,0,0,0
EOS,0,0,0,0.288328758215265,0.132417240165216,0.246605949024039,0,0,-0.00440292061924714,0,0.0542158430908802,0,0,0,0.0592292332205318,0,0,0,0,0
BNB,0,0,0,0.109536048413551,0.174968442180279,0,0,0,-0.000793529526795881,0.0111672793662883,-1.73472347597681e-18,0,0.203447068122233,0.397378485406451,0.201287611347262,0,-0.014654534403062,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51289611867246
TAGZ5,0,0,0,0,0.370210797652483,0,0,0,0,0,0,0,0,0,0,0,-0.118427006283957,0,0,0.0529011551056374
XTZ,0,0.662917801904539,0,0,0.0147131096816798,0.231639140681239,0,-6.93889390390723e-18,0.00160262720336627,0.0312691325409423,0,0,0.348593601780839,0,0,0,0,0,0,-0.0218067324037055
LEO,0,0,0,0,0.142902760300635,0,0,0,0.00324852437858745,0,0,0,0,0,0,0,-0.0173916692602321,0,0,-1.73472347597681e-18
XMR,0,0,0.140326956295431,0,0,0.476027059580741,0,0.269360752437254,0.00220087310597699,0,0.170041970555301,0,0,0,0,0,-0.0425266504324957,0,0,0
XLM,0,0,0.230215674044893,0,0.0763658501731037,0,0,0.488287370335593,0.00171935979653767,0.0193116533898024,0,0,0,0,0,0,0,0,0,0.00708775465774629
ADA,0,0.175507869450231,0.0105801724083946,0,0,0.479007047522358,0,0.394746698386848,-0.00312250417835138,0,3.46944695195361e-18,0,0,0,0,0.016338969123896,-0.00316987801590683,0,0,0.0310122235347287
BV010082.Index,0,0,0,0,0,0,0,0,0.00365264010619254,0,0,0,0,0,0,0,-0.115889954616798,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,-0.0162047934439295,0,0.0538851024476155,-0.0418796555125821,0,0,0.000652563002351658,0.0157973088180511,0,0,0,0,0,0,0.0381930057804772,0,0,-0.0446868326158118
SPX.Index,0,0,0,0,0,0,0,0,0.0109540037895163,0,-0.0639139996386437,0,0,0,0,0,-0.00228823570519477,0,0,-0.279681346408771
VIX.Index,0,0,0.523699928954441,0,0,0,0,0,0.0278669193892752,0.036343060441886,-0.39963076012435,0,0,0,0,0,-0.000700346140433154,0,-0.91405904273101,0
