,BTC,ETH,XRP,BCH,BSV,LTC,ADA,BNB,EOS,CRO,LINK,XTZ,OKB,XLM,LEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.455877978200407,0.153739363123417,0,0,0,0,0,0,0.0868603546752177,0,0,0.00285414125353352,-3.46944695195361e-18,0.00848965417062304,0,0.00142657854630776,0,0,-0.0232528155086861
ETH,0.116203709715008,0,0,0,0.268496973179673,0,0.0368710870163491,0,0,0,0.0248064192409387,0,0.0979305075408015,0.151192769863958,0,0,0,0,0,-0.0379616073060269
XRP,0,0,0,0.207003711517948,0,0.277760081860061,0.107684151033215,0,0,0,0,0,0,0,0,0,0,0,0,-0.0290740269541669
BCH,0,0,0.433154413521412,0,0.279624940995238,0,0.0340997031075573,0,0.170632614911966,0.155875363936824,0.0300599809360465,0,0.061680413821492,0.0392291129763393,0,0,0,0,0,0
BSV,0,0.374061397675196,0,0.270779454227418,0,0,0,0,0,0,0.115886988196683,0,0,0,0,0,-0.0706361618545534,0,0,0
LTC,0,0,0,0.0507084325172843,0.245095929764915,0,0.0112681810276149,0,0,0,0,0,0,0.343880160070645,0,0,0.0890770292332083,0,0,-0.0320768244098219
ADA,0,0,0,0,0,0,0,0,0,-0.131470997591974,0,0,0.337350284426859,0.515503572208151,0,0,0,0,0,-0.118530274631829
BNB,0,0,0,0,0.101250313679071,0.0798046289134225,0,0,0.174840492636379,0.0918239756543168,0,0,0.102432542138092,0.160773775489648,-0.0182566906812946,0,0.0347834258184614,0,0,-0.0140445268350327
EOS,0,0,0,0.242007907950507,0.00838779710728045,0.375320680391484,0.0490156180780808,0,0,0.0628586802414291,0,0,0,0,0,0,-0.0909046029157161,0,0,-0.0656950967517841
CRO,0,0,0,0.51919334365936,0,0,0,0,0,0,0,0,0,0,-0.369285923502851,0,-0.0675131453053775,0,0,-0.130749518290681
LINK,0,0,0,0,0.258879281059032,0,0,0,0,0,0,0.751954192377067,0.0819752469916544,0,0.277836227162309,0,0,0,0,-0.0780935662075585
XTZ,0,0,0,0,0,0,0,0,0,0,0.601616181776819,0,0,0.229705821119916,0,0,0,0,0,-0.000358207193513996
OKB,0,0,0,0,0.27500761199222,0,0,0,0,0,0,0,0,0.116751531197423,0,0,0,0,0,-0.0464839902978179
XLM,0,0.215369143242725,0,0,0.108755361316874,0.476856247162942,0.120582569537155,0,0,0.0249193606420713,0,0.248627799590268,0,0,0.119790673874415,0,-0.0250115628246401,0,0,0
LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,-0.216754357006529,0,0,0,0.0682490316654875,0,0.0108694247641643,0,0,0.00868177322796654,-0.0357339654098628,4.2351647362715e-22,0,0,0.0501223085690993,0.140981758279915,-0.0284277519189601,0,0,-0.00857972608220456
SPX.Index,0,0,0,0,0,0,-0.0898664060919218,0,0,0.00941516476411505,0.020890983963454,0.0201826468190775,0,0,0,0,0,0,0,-0.163151000154189
VIX.Index,0,0,0,0,0,0,-0.706187568501069,0,0,0,0,0,0,0,0,0,-0.103736993148741,0,-2.77823068957901,0
