,BTC,ETH,XRP,LINK,BCH,DOT,LTC,ADA,BSV,CRO,BNB,EOS,XTZ,XLM,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.106621530678962,0,0.0108139357893316,0.178619908001254,0.00914847254309225,0.0699609211666948,0,0,0.0395732709089549,0.147016764134457,0,0,0,0.0186931026727266,0,0,0,0,-0.0411142017139559
ETH,0,0,0.109899167312442,0.00602495683289147,0,0.0263519944964323,0,0.0757704843812866,0,0,0.536418064846994,0,0.103968734772033,0,0.0346714264733764,0,0,0,0,0
XRP,0,0.30300529307726,0,-0.0590553800741112,0.398371480838577,0.0299031404942007,0.133361626779137,0,0,0,0,0,0,0,0.0403967382748888,0,-0.189682029362107,0,0,0.0541186554824391
LINK,0,0,0,0,0,0.197899304607419,-0.590884092833528,0,0,0,-0.401141483214246,0.512257361899704,0.343893843356526,0,0.245625776877919,0,0.620481384109518,0,0,0
BCH,0,0.00729953091895153,0,0,0,0.0152139259700464,0.454839527420178,0,0.167743914126816,0,0,0,0,0,0,0,0,0,0,-0.100394451901958
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.107821322810321,0.209318823739797,0,0.166712638141756,-0.00981420798000287,0,0,0.336818725588948,0,0,0.224944176402592,-0.0200058908483975,0,0.0447315246243054,0,0,0,0,0
ADA,0,0.283389010025567,0,0.0292936968538049,0,0.0273602048961897,0.179189252765522,0,0.0483835590955358,0,0,0,0.0969265438119386,0,0,0,0,0,0,0
BSV,0,0.224927273495395,0,0,0.265073970153145,-0.0080245275486507,0.197081185653519,0.114996441645395,0,0,0,0.0283611011673342,0,0,0.0152423185020487,0,0,0,0,0
CRO,0,-0.0491960655716029,0,-0.033666049942511,0.299332163182565,0,0.0743304734604568,-0.343230098445545,0,0,0.287574704228146,0.0533038041685554,-0.0581894914080387,0,0.0692614236781633,0,-0.149993106507102,0,0,-0.0518841598453703
BNB,0,0.553004174738976,0,0.0380378119200252,0,-0.027223725247348,0,0,0,0.239288426549743,0,-0.0934586975627688,0.00335433440971334,0.30025805000163,-0.07062798317043,0,0,0,0,-0.0933816313934499
EOS,0,0.215382150909534,0,0.00972961265882484,0.496664782355963,0.0344504868873783,0,0,1.38777878078145e-17,0,0,0,0,0.334798113407261,0,0,-0.0726386553998212,0,0,0
XTZ,0,0,0,0.343754986888967,0,0,0,0.229885682569363,0,0,0,0,0,0.536344950480415,0.0426241268510674,0,0,0,0,0
XLM,0,0,0,-0.119306287152222,0,0.0157476441266143,0,0.195557737790733,-0.241119073585309,-0.422076415367975,0.448678137712681,0.41146611963694,0.106386340574953,0,0.101623626810242,0,0,0,0,0
ATOM,0,0.200253381387545,0,0.292932402024796,0,0,0,0,0,0,0,0,0.255694309150785,0.0963641814195435,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,-0.00551845616781226,0,0,0,0,0,0,0,0,0.0106735904253561,-0.00755896885375138,-0.00363008307554974,0,0,0,0,-0.111437244201125
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
