,BTC,ETH,DOT,XRP,ADA,LINK,LTC,BCH,BNB,XLM,WBTC,BSV,AAVE,EOS,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0330479339657127,0,0,0,-0.004524549237594,0,0.0108310670798309,0.929060599356739,-0.0087969919811166,0,0,0,0,0,0,0,0
ETH,0,0,0.0460244856733696,0.0592045057548057,0.0799265479526021,0,0.625689689217206,0.559842410097778,0,0,0.0350687429044618,-0.320569809994786,0.0790505386826416,0,-0.217317924060612,0,0,0,0,0.0343896576228602
DOT,0,0.283004056715024,0,0,0,0.290047129854307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,6.93889390390723e-18,0,0,0,0,0.0676169181153061,0,0,0.210394602192876,0,0.051364138586149,0.105279732992388,0,0,0,0,0,0,-0.238025461532348
ADA,0,0.543873967732326,0,-0.446580069808979,0,-2.77555756156289e-17,-0.357671584793318,0,0.646708620093869,0.470525507473716,0,0.0828226501984401,0.0639219944711883,0,-0.121458031562563,0,0,0,0,-0.27731843885861
LINK,0,0,0.0948772003293125,0,0,0,-0.0439291470148621,0,0.328108209516591,0.122452618165822,0,0,0.33123464160927,0.619069959572987,0,0,0,0,0,0.373092389129542
LTC,0,0.257364895197584,0.00843662139960751,0,0,0,0,0.162159275108473,0,0,0.29100194882113,0,0,0.0886735748306927,0,0,0,0,0,0
BCH,0,0.489827357466391,0,0,0,0,0,0,0,0.0117003718853594,0,0.535107435052634,0,0,0,0,0,0,0,0
BNB,0,0,0.0612510939716728,0.074243386759609,0.275568715686075,0.0422191087280894,0.181560048388153,0.0287894926040601,0,-0.143408928115621,0,0,0.015216327117677,0,0,0,0,0,0,0
XLM,0,0,0,0,0.680126499779974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBTC,1.03379174381823,0,-0.0049261933537144,-0.0220494109352817,0.00669580062670806,0,0,0.0269368571856757,0,-0.00997386770502945,0,0,0.0115427763120783,0,-0.0144628147604747,0,0,0,0,0
BSV,0,0,0,0,0,0,0,0.597346334813856,0,0.0461406409115188,0,0,0,0,0,0,0,0,0,0
AAVE,0,0,0,0.260515214669161,0.7295976581327,0.573448572246626,0,-0.293261166418249,0,-0.614624369872608,0,-0.0325983111402754,0,0,0.571852592211665,0,0,0,0,0.231805155063979
EOS,0,0,0.0276143992018092,0,0.0626981163446404,0.13901496091431,0.148336084413518,0,0,0.189062380536302,0,0.284900273482971,0,0,-0.159381346138285,0,0,0,0,-0.00607064359545652
XMR,0.124518172793216,0,0,0,0,0.159247293119716,0,0,0,0.0457890698289502,0,0.0547689113467201,0.163966217564315,0,0,0,0,0,0,-0.316491340230387
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,-0.26504320469452,-0.0125510174229516,-0.0137361351198682,0.0318961890323811,-0.0803032419513212,0,0.244999995635916,0.110187864161699,-0.0744832207943485,0.131482366047501,-0.187635797195469,0,0.218308067618373,-0.0316390156714977,0,0,0,0,0.153417988150715
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,-0.0002386696827803,0.0136338793608373,0,0,0,0,0,0.00266449525027213,0,-0.00186280202558749,-0.0134556252276284,0,0,0,0,0,0,-0.088904365684756
VIX.Index,0,0,-0.0555255602332064,-0.359897845463433,0,0,-0.232351314565774,0.174345981515984,0,0.118530255388479,0,-0.0747254924576125,0.263190749959994,0,-0.148341527695165,0,0,0,0,0
