,BTC,ETH,BNB,ADA,DOT,XRP,UNI,LTC,LINK,BCH,XLM,THETA,WBTC,LUNA,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0178785824824584,0,0.0135881860266643,0,0.00510981390917512,0.0119552465095309,0,0,0.0487118625039037,0.0261459934007139,0,0.878028300729192,0.0148085946199066,0,0,0,0,0,0
ETH,0,0,0.18130040344092,0,0,0.122938941622378,0.0356000344611386,0,0,0,0.00931149772628026,-0.0998872818033187,0.282758482843538,-0.025055617294065,0.380550365317759,0,0,0,0,0
BNB,0.182471359298073,0.258432131984393,0,0.134112129128654,0,0,0.264188911845188,0,0.0810204197310963,0,0.142536121546125,0,0,0,0,0,0,0,0,0
ADA,0,0,0.130707855605896,0,0.295948961393283,0,-0.166398602756401,0,0,0,0.540012169045342,-0.160615623039909,0,-0.0693440560625403,0,0,0,0,0,-0.0767833208071109
DOT,0,0,0.275234229991989,0.194286154750465,0,-0.259106481510431,0.0620742781324363,0.180403430553664,0,0.277527281896009,0.164344316789144,0.0578151328562029,0,0,-0.142678434914802,0,0,0,0,0.1456048798157
XRP,0,0.203543642157506,0.103703274677911,0,0,0,0.17746998947579,0,0,0,0.217713165666811,0,0,0.029462339424357,0,0,0,0,0,0.153242286928012
UNI,0,0,0,0,0,0.252131724315779,0,0.193839590614389,0.308201797074268,0.16120749693981,-6.93889390390723e-18,0,0,-0.0264232194113251,0,0,0,0,0,-0.13830198975254
LTC,0,0,0.179699328248734,0,0.122614431753227,0,0.0361036213512327,0,0.0520943476671428,0.426839119724387,0,1.73472347597681e-18,0,0,-0.0114627477287249,0,-0.167676747786891,0,0,0
LINK,0,0.181658173228847,0,0.198789640685247,0,0,0,0,0,0,0.234518062173518,0.124720159769395,0,0,0.495048333049965,0,-0.30007416026976,0,0,-0.104676942181823
BCH,0.44536171690101,0,0.0725224733152891,0,0.0540631519692937,0.15998912985524,0.00826921228786696,0.179499893466376,0,0,0,0.0167743662164233,0,-0.0393331422262659,0.13846356701714,0,0,0,0,-0.0234053754761389
XLM,0,0,0.153221151993059,0.120136544868358,0,0.163562169112115,0.0380412507147264,0,0.118898118436637,0,0,0,0,0,0.0565151799896716,0,0,0,0,0
THETA,0,-0.671110505663544,0.337674259931843,-0.0648989002151297,0,0,0,0,0.444951100755259,0,0,0,0,-0.00729391475024237,0,0,0,0,0,0.277030509304721
WBTC,1.01691778323149,0,0.0135021909798746,0,0,-0.0376500652081963,0,0,0.0117921664368786,0,-0.0496287607824031,-0.00110610590669769,0,-0.0079990355358598,0,0,0,0,0,0.00704208766697879
LUNA,0,-1.19216628660934,0.434426725072754,-0.0573234381213074,0,1.76195058220453,-0.526912987203726,2.30324136790724,0,-1.73164409366202,0,-0.116458023862545,0,0,1.00085975584808,0,0.151322831773736,0,0,-0.493914406968096
DOGE,0,0.246581210371294,-0.0283477830605033,0,-0.00539878090012654,0.0921291578514505,0,0,0,0.415396475575079,0,-0.0428344667318323,0,0.00225642519336672,0,0,0.0783954107752013,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,-0.0135978840516978,-0.00682974360381592,0,0,0.0064977524896091,-0.0199912706671618,0.0132499323084953,0,0,0.00173605750993371,0,0.0102846361067437,0.00247127315043355,0,0.104775328398237,0,0,0.0121017222367095
SPX.Index,0,0,0.0427957851622186,0,0,-0.0302587673504953,-0.00959731621932761,0,-0.00460175040013033,0,0,-0.00559941123245436,0,-0.00256115753031137,0,0,0,0,0,-0.113494451353876
VIX.Index,0,0,-0.350568038855028,-0.200782250170305,0.167754494469261,0.522836420679187,0,0,0,0,0,0.163330096496147,0,0,0.0934971019860709,0,0,0,0,0
