,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0407043561315735,0.0933214190592151,0.283955016361656,0,0.240684699065801,0.0394135435686833,0,0,0,0,0,0
XRP,0.204716098609088,0,0.0997496195040441,0,0.237909783996271,0.0413101447792499,0,0,0,0,0,0,0.0625598114921954
LTC,0.488590421406544,0,0,0.0462564385390665,0,0,0.0221968332581294,0.0228586989847815,0,0,0,0,0
DOGE,0.367229556132075,0,0.123625625594568,0,0,0.161284498849692,0,0,0,0,0,0,0
XLM,0,0.705107685989019,0,0.279620886734159,0,0,0,0,0,0,0,0,-0.102109735267368
DASH,0.636394180857263,0,0.0941639282828993,0.0237004436492569,0,0,0,0.0279704002906569,0,0,0,0,0
XMR,0.240058633699072,0,0.0718999014832987,0,0,0.187864725513129,0,0,0,0,0,0,0
DGB,0.66026480235221,0,0.0492816892396366,0,0,0,0,0,0,0.226403858243179,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.035001287337098
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,-0.00201419396357082,0,-0.000369138026056491,0,0,-0.000426162182563136,0,0,0,0.0110267556958008,0,0,-0.0181911330758339
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0735591619962095
VIX.INDEX,0,0,-0.0000000707130563517653,0,-0.0000000521990774568887,-0.000000015241629831412,0,0.0000000466031959856234,0,0.00000000261760937426356,0,-3.70316879791073,0
