,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.130600937338033,0.0713230460659206,0.28774652482689,0,0.168630814807019,0,0,0,0,0,0
XRP,0.0825704155297949,0,0,0,0.0377008250761,0.163731000464383,0.0694534796688725,0.0242022045460337,0,0,0,0,0
LTC,0.580740694956685,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0.652908853284172,0,0.125678944017001,0,0,0,0,0,0,0,0,0,0
DOGE,0.300628113358478,0,0.172915147113226,0,0,0,0.0700754188863142,0,0,0,0,0,0
XLM,0.132942849371181,0.333434978908356,0,0,0.427595352509969,0,0,0,0,0,0,0,-0.0209490809342385
XMR,0.436189063998424,0,0,0,0.448736868700249,0,0,0,0,0,0,0,0
DGB,0.482573937531197,0,0,0,0.391342417385095,0,0,0,0,0.181590811885289,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284327218295594
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.0000001824943711063,-0.0000000572489417934471,0,0,0,0,-0.0742368429646333
VIX.INDEX,0,0.000000244801808022329,-0.0000000000000000000000264697796016969,0.00000010358400937503,0,0,-0.000000721503076905226,0.0000000682407109318904,0,0.000000465438907469004,0,-3.70317324616697,0
