,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0289417722554317,0.258527539833815,0,0.0606916462925172,0,0,0.092026127768865,0.0102949001939093,0.0193865635176226,0,0,0,0,0.000000000000000000433680868994202
XRP,0.218104426835517,0,0,0.0188485982864949,0.0560358637154604,0,0,0,0.0168723087167094,0,0,0,0,0,0
LTC,0.508958883547266,0,0,0,0.027534920781652,0,0,0,0,0,0,0,0,0,-0.0161807198988767
ETH,0,0.0382817012226078,0,0,0.302346106739341,0.724082204600648,0,0,0,-0.0290731503043241,0,0,0,0,0.143621496465306
DASH,0.0531045865791865,0.0399612329895027,0.229322871313606,0.0127019016533452,0,0,0,0,-0.00194508397727807,0.0788019927948971,0,0,0,0,0
DOGE,0,0.136311191740365,0.320433198069016,0.025798052296707,0,0,0,0,0.000467204186769352,0.0125056713306263,0,0,0,0,0
XLM,0.0040632557068063,0.0867209999155259,0.123106844442905,0,-0.171540537554235,0,0,0.10680758778598,-0.0218107059396692,0.175824073165539,0,-0.0115179356694872,0,0,0
XMR,0.0985421922571638,0,0,0.0000000000000000000542101086242752,0.0829472328657913,0,0,0,0.0289066871115699,0.0000000000000000000271050543121376,0,-0.306319349754286,0,0,0
DGB,0,0,0.566672398292516,0.0256248733928664,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.378077874691203,0,0,0.370657995414431,0.140335130281023,0,0,0,0,0,0,0,-0.0356593849077683
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0658074309270094
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
