,BTC,ETH,XRP,LTC,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.611666746501337,0,-0.00782723058192552,0.0200064614578152,0.0209869698908414,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0.0870748167323077,0,0,0,0.0122021077508829,0.097979843565367,0,0.0385689867455498,0.0350273074000492,0.00455857498577494,0,0,0,0,0
LTC,0.447161059770889,-0.00651109908281762,0,0,0,0.00987590004502658,0.00402841266037112,0,0.0108062517955919,0,0,0,0,0,0
DASH,0,-0.146726572397222,0,0,0,0,0,0.0776769076059269,-0.211756996261841,0.16316816147755,0,0,0,0,0
DOGE,0,0.0534243721637262,0,0.37211897741235,0,0,0,0,0.18344159699596,0,0,0,0,0,0.0398556782434303
XEM,0,0,0,0.568752420076532,0.240696004122262,0,0,0,0.360149242369181,0.0546887261934584,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,-0.042156843530473,0.189453228867695,0.0948792019128254,0,0,0.0554050881437795,0,0,0,0,0.0420991952928365
DGB,0,0,0.338247644918847,0,0.292026876791018,0,0.0588458467947676,0.00000000000000000173472347597681,0.12978846548261,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,-0.000390769030529599,0,0,0,0,0,-0.0427684332590405
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052581940419522
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00961078655420274
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000785688506193493,0,0,0,0,-0.123846757155119
VIX.INDEX,0,-0.0031035909564704,0,0,0.0063134285057099,0.0412173215015585,0,0,0,0.0564361015998715,0,0,0,-2.29272280142565,0
