,BTC,ETH,XRP,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.443159765922619,0.0359172082555702,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0589553280221924,0,0.155638308975464,0,0,0.144922933372409,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.57465383513871,0,0,0,0.00147587344934236,0,0,0,0,0,0,0,0,0,-0.00305242464765903
XEM,0.494905734517104,0,0,0,0,0,0,0,0.747854001344427,0.17515582990655,0,0,0,0,0
DASH,0.0989024568107565,0.0560642783523118,0.0522562954881166,0.0922933807441859,-0.035865420458407,0,0,0,0.000000000000000000216840434497101,0.0526352704577333,0,0,0,0,0
DOGE,0.29519975568467,0,0,0,0.0162185474322554,0,0,0,0,0,0,0,0,0,0.0286041180713309
XMR,0.643170358907723,-0.0751717761566997,0,0,-0.0317657702610067,0,0,0,-0.0402897900411888,0.0518766266832515,0,0,0,0,-0.0606139068351877
XLM,0,0,0,0,0.194740588037601,0,0,0,0,0,0,0,0,0,0
DGB,0,0.145210802406096,0,0,0.0724362824653183,0.210396974613117,0,0,0,0,0,0,0,0,-0.00556544638872262
BV010082.INDEX,0,0,0,0,-0.00000422032732467885,0,0,0,0,0,0,0,0,0,-0.0883114227222654
CVIX.INDEX,0,0,0,0,0,0,0,0,0,-0.00000432305885227912,0,0,0,0,0.231257729047447
DXY.INDEX,0,0,0,0,0.000000190600316519582,0,0,0,-0.000000136562805117466,0,0,0.0326948631182868,0,0,0
SPX.INDEX,0,0,0,0,-0.000000840123228194627,0,0,0,0,0,0,0,0,0,-0.0648305587251366
VIX.INDEX,0,0,0,0,0.011803530709756,0,0,0,0.0151741310969817,0,0,0.55968859387132,0,0,0
