,BTC,ETH,XRP,LTC,ETC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.391104580600668,0.00149147197437955,0,0.0500834548692741,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,-0.0922563807505525,0,0.0442824759408253,0.179023316836743,0,0,0.140786530819855,0,-0.155916702042029,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.566108439710121,0,0,0,0,0,0.003689876153832,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0.170615256081682,0.0610288044651972,0.0740188475061171,0.0675463328679848,-0.0103787143726964,0,-0.0398767111436916,0,0,0.00840287091604447,0.0447052406310359,0,0,0,0,0
XEM,0.481650446144575,0,0,0,-0.0171904986884927,0,0,0,0,0.377066429309745,0.0262741844971613,0,0,0,0,0
DOGE,0.250921203078521,-0.000000000000000000867361737988404,0,0,0,0,0.028357803465519,0,0,0,0,0,0,0,0,0.0238199519878087
XMR,0.451651391577409,0,0,0,-0.00985008327213224,0,-0.021201043443459,0.158797916557284,0,-0.043434457619367,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.185824051742184,0.172556767938076,0,0,-0.023629015485638,0,0,0,0,0
DGB,0,0.146891331917375,0,0,0,0.161592812946234,0.0955540173236599,0,0,-0.0486843584462405,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0162882410828756,0,0,0,0,0.0100763969559438,0,0,0,0,0,-0.0692465646397713
CVIX.INDEX,0,0,0,0,-0.01309406231788,0,0,0,0,0,0,0,0,0,0,0.12356789000865
DXY.INDEX,0,0,0,0,-0.000419487635072338,0,0.000000193292532946108,0,0,0,0,0,0.0356992968672339,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.000000577508906926882,0,0,0,0,0,0,0,0,-0.0441429105786115
VIX.INDEX,0,0,0,0,0,0,0,0,0,0.00000513549724223951,0.00000377295484696589,0,0.440192088647377,0,0,0
