,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0692594416763805,0,0.354797190285853,0.017045640099848,0.00940098703503472,0,0.0463425167584749,0.0591013411953609,0,0.00767696311301869,0,0,0,0,0
ETH,0,0,0,0,0,-0.0923768670889377,0,0.0816983308902783,0,0,0.0473306526960807,0,0,0,0,0
XRP,0,0,0,0,0,-0.0179107161447386,-0.0325270303616624,0.0391758294495803,0,0.0201906642284971,0.0292661722660311,0,0,0,0,0
LTC,0.423152731768157,0.026404801025425,0,0,0,0,0,0,0,0.0314904890407963,0,0,0,0,0,0
XMR,0.285594439872539,0.0889829288755794,0,0,0,0,0,0,0.110826588586493,0,0.136992600304249,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.141919256183175,0,0,-0.015627940070614,0,0,0,0,0.0506508901713377,0,0,0,0,0,-0.0908651832324426
XEM,0.282216509082334,0.26467379197967,0,0,0,0.00127571880399392,0.19612045912637,0,0,0,0.0627006287157562,0,0,0,0,-0.140013519407121
DOGE,0.255649977912279,0.0516504223553148,0,0,0,0,0.045392523672407,0.0240734932563671,0,0.0413397197203761,0,0,0,0,0,0
XLM,0,0,0,0,0,-0.0124335771837567,0,0.157119960113626,0.0932907345625604,0,0.0425234914203567,0,0,0,0,0
DGB,0,0.203137939778695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,-0.0000367125915671798,-0.000962133799102014,0,0,0,0,0,0,0,0,0,-0.00888273561342027
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
