,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0118735169576205,0.0274635535771797,0.00957576398805929,0.0292175431058296,0.0101807012818649,0.0345596501169794,-0.01906791191615,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,-0.00266280382722559,-0.0061370178909567,0,0.0512326661066123,0,0.240942188329852,0,0,0,0,0,0.0083928272900089
LTC,0.356928077427883,0,-0.008537147474925,0,0.0198302583829898,0,0,-0.00843295243703974,0,-0.00414098541924671,-0.00623985773338038,0,0.0604326100828718,0,0,-0.00577364711862291
ETC,0,0,0,0,0,-0.00503631167582178,0,-0.118396075522144,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,-0.658716579804881,0.0558486608219983,0,0,0,0,0,-0.0633772041630398
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.0887859809377073,0,0,0,0.134617660021567,0,0,-0.0875536372003734,0,0,0,0,0,-0.106750072066252
DOGE,0,0,0.0741661821409721,0,0,-0.0165612727285302,0,0.0372389447847096,0,0,0,0,0,0,0,0
XLM,0,0,0.493979446732703,0,0,0,0,0,0,0,0.0465916435544884,0,0,0,0,0
DGB,0,0,0.145254242173124,0,-0.142977002298395,-0.0694720222290651,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0873537489793484,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664564683104575
DXY.INDEX,0,0,-0.00000118722366748604,0,0,0,0,0,0,0,0,0,0,0,0,0.00881210281176967
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0632643576389772
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
