,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,ZEC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,-0.0173816370364309,0.00384387139711278,0,0.0141608031087574,0,0,0,0,0
ETH,0,0,0,0,0,0.0452269865070973,0,0,0,0.0514327032720487,-0.0214355983680442,0,-0.0497891981791712,0,0,0,0,0.0594931849757933
XRP,0,0,0,0,0,0,0,0,0,0.259644307960708,-0.0301867709310574,0,-0.014287601352572,0,0,0,0,0
LTC,0.207282813135199,0,0,0,0.0160590870432404,0,0,0,0,-0.027863968381143,0.00424347094913175,0,0.00842625052775695,0,0,0,0,0
ETC,0,0,0,0,0,0,0,-0.136861245909027,0,0,0.00309175339884277,0,-0.0473823410366228,0,0,0,0,0
XMR,0,0.13340279886468,0,0,-0.0698388836443715,0,0,0.0584493613091288,-0.548943840482805,0.0709579029738018,-0.0867615188194949,0,-0.0670839651097398,0,0,0,0,-0.123050469163716
DASH,0,0,0,0,0,0,0,0,0,0,-0.0291938823196339,0,-0.0987993408836663,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0.0362086170644835,0,-0.0521292557006968,0,0,0,0,-0.102615675033309
DOGE,0,0,0,0,0,0,0,0,0,0,0.0163170288137922,0,0,0,0,0,0,0
XLM,0,0,0.517998531405073,0,0,0.0611509300694957,0,0,0,0,-0.0128512858742887,0.0349186656038279,-0.0455032755763426,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0,0,0,-0.063083487806129,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000545101121237794,0,0,0,0,0.0664553915834943
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000256167130965257,0,0,0,0,-0.0591563622274797
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
