,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0626390539226292,-0.00000000000000000173472347597681,0,0,0,0,-0.0179709947898702,0.00245098335834847,-0.00304820344241766,0,0,0,0,0,0
ETH,0,0,0,0,0.0883487547980743,0,0,0,0,0.0735849157822572,-0.00330330122596225,-0.00363086450776065,0,0,0,0,0,0.0196773121436623
XRP,0,0,0,0,0,0,0,0,0,0.306974841255658,-0.0204294072769979,-0.00578981820429159,0,0,0,0,0,0
LTC,0.221737632194319,0,0,0,-0.00425923561789389,0,0,0,0,-0.0137832165501386,0.00205465669765831,0,-0.0162376961628958,0,0,0,0,0
XMR,0,0.15473346322865,0,0,0,0,0,0.23844706992287,-0.556628239329834,0.0549671049781527,-0.0956375317606506,-0.0466878193799753,0,0,0,0,0,-0.116510976561551
ETC,0,0,0,0,0,0,0,-0.107040244606771,0,0,0.00283141691955502,-0.018838035054159,0,0,0,0,0,0
DASH,0,0,0,0,0.0701146834309135,0,0,0,0,0,-0.0249412284858828,-0.0311635407059624,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0.0528596940004694,0,-0.0720069442172188,0,0,0.0530331460713455,0,0.0264013399134007,0.00800939740256419,-0.0154782368772289,0,0,0,0,0,0
XLM,0,0,0.565820034190934,0,0.177791880116085,0,0,0,0,0,0.0271620002387246,-0.0169883577386777,0,0,0.052329525939919,0,0,0
NEO,0,0,0,0,-0.386925307836988,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0.156825140156728,0,-0.0413909452549097,0,0,0.0626674688419031,0,0,0,-0.0441155762452714,0,0,0,0,0,-0.0305084498688065
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0000000879999737196235,0,0,0,0,0,0.0664564669490052
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.000000045167194097592,0,0,0,0,0,-0.0477226016102121
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
