,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.256212444597974,0,-0.0131578003807439,0,-0.0301795651328343,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,-0.0287770394759172,0,0.00721280320985689,0.215824011787806,0.0348668671927668,0.202311390086376,0,-0.0467474608654766,0,0,0
XRP,0,0.0776029169616863,0,0,-0.037739133593253,0,0,0.00886546584915881,0,-0.00967972832146773,0.0502247605418319,0,0.030580095097166,0,0,0,0,0
LTC,0.470805470771907,0,0,0,0,0,0,0,0,0.00540231157385065,0.0033353931551917,-0.00802107387491976,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0.0538024909899024,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0.12299421501932,0,0,0,0,0
DASH,0,0.0940097636563229,0,-0.0768082784726738,0.0268351676138196,0.106257922110117,0,0,0,0.0124084111229006,0.0421548258296329,0,0,0,0,0,0,0.0146597510527579
XEM,0,0,0,0,0,0.134495138746569,0,0,0,0,0,0,0,0,0,0,0,-0.0435153693363161
DOGE,0,0.0143814478275467,0,0.0522260113279116,-0.0656720625692646,0.0310209364809997,0,0.0252039675529733,0,-0.00115144402515455,-0.0238417214601365,0.0214312985713242,0,0,0,0,0,0
ZEC,0,0,0,0.349974552152287,0,0,0,0,0,0,0,0,0.38520748159685,0,0,0,0,0
XLM,0,0.145799036819056,0,0,0,0.0571427270121212,0,0,0,-0.0174021570031594,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,-0.086753609302966,0,0,0,0,0,0,0,0
DGB,0,0.38048982291995,0.581933084189618,0,0,0.194156414618843,0,0.0764201372091997,0,0.0417213472932415,-0.0151924696060994,-0.0367079241238596,0,0,0,0,0,0.0415920501403668
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0.000321309471065245,0,0,0,0,0.00587318801804996,0,0,0,0,-0.017734430099442
SPX.INDEX,0,0,0,0,0,0,0,0,0,0.000000283992230272802,0,0,0,0,0,0,0,-0.0384170763698085
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
