,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.115780071850302,0.116472682518069,0.185617188570727,0,0.0595833475943555,0,0.0825264348942593,0,0,0,0,0,0,0,0
ETH,0.118087547736753,0,0,0,0,0.0908594046215289,0.24944220290314,0.0183111275140912,0,0,0,0,0.0395716610707364,0,0,0,0,0
XRP,0,0,0,0,-0.043979062476714,0.115610057673219,0.0539134105462367,0,0,0,0,0,0.000000000000000000216840434497101,0,0,0,0,0
LTC,0.0985838583227438,0,0,0,0.104784339965847,0.0402411647473737,0.00338255520972792,0,0,0.0551880626454733,0,0,0,0,0,0,0,0
XMR,0.362708970976222,0,0,0.150707792825077,0,0.246909623923258,0,0,0,0.204966666442101,0,0,0,0,0,0,0,0
DASH,0.0967642788861073,0.107909419995897,0,0,0.0291625217139501,0,0.217716974115851,0.142045218599297,0,0,0.0850500828167023,0,0,0,0,0,0,0
ETC,0,0.175570162877612,0,0,0.113651732079623,0.157480886168279,0,0,0,0,0.0883153883112678,0.0806460156249933,0,0,0,0,0,0
XEM,0.280081694474569,0,0.129045676155721,0,-0.234855472244779,0.173140012026116,0.0582352008623629,0,0,0.0736460811963589,0.0691496129700116,0,-0.16596038918603,0,-0.357093120291903,0,0,0
DOGE,0.119218351275424,0,0,0.18795043666907,0,0.0412847187903213,0,0,0,0,0,0,0,0,0,0,0,-0.094641446726648
ZEC,0,0,0,0.29499992107042,0.111202584520546,0.00000000000000000346944695195361,0.044285488591364,0.0471097294033615,0,0,0.243070209490972,0,0.107434498930926,0,0,0,0,0
XLM,0,0.0849093395988874,0,0,0,0.10393069799693,0.110324431075531,0,0,0.00819925571102615,0,0.0627416953987336,-0.0237371185616509,0,0,0,0,-0.0396866827745562
NEO,0,0,0,-0.13662506513023,0,-0.132335013706651,0,0.146475883760551,0,-0.191796780135151,0.601280007564614,0,0.0570879728321341,0,0,0,0,0
DGB,0,0.148576112258183,0,0,0,0,0,0,0,0,-0.0502695069150523,0.133387918144532,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00702593160734729,0,0,0,0.0087028709091303,0,0,0,0,0,-0.000417606775064943,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0.000000294335823632086,0,0,0,0,0,0.0000000967668789616909,-0.000000123864076981695,0,0,0,0,-0.0329269062804413
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
