,BTC,ETH,DASH,XMR,XRP,LTC,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0767113677134959,0.0573263386901814,0,0,0,0.10087283652142,0.0408488310074305,0.0505415205023201,0,0,0.0246759260467183,0,0.0372177146330188,0,0,0
ETH,0,0,0.111406126675004,0.235669820830528,0,0,0.130907034298153,0,0.149207542389489,0,0,0,0,0,0,0,0,0
DASH,0.524008101490111,0.226563606223249,0,0,0,0,0,0,0.217805251332815,0,0.0361697374200334,0,0.0628517058538485,0,0,0,0,0
XMR,0.169691293013691,0.406746644399504,0.106559347410441,0,0,0,0,0,0,0.0233610846328048,0.0314549924420838,0,0,0,0,0,0,-0.0250383424923142
XRP,0,0,0,0,0,0,0,0,0,0.0683690480841775,0,0,0,0,0,0,0,-0.052195122469584
LTC,0,0.0620376201946741,0,0.0210152893380781,0,0,0.0482604574586592,0.0126390341750958,0,0,0.0594143808890802,0,0,0,0,0,0,0
ETC,0,0.197898956215051,0.0261142438626412,0.0827890001321353,0,0,0,0,0,0,0,0.0314638593817375,0,0,0,0,0,0
XEM,0,0,0.0822631830415983,0,0.342625067567106,0,0,0,0,0,0.161611907171101,0,0,0,-0.426324530271745,0,0,0
ZEC,0,0,0.309078061104435,0,0,0,0.197880768064136,0.0343488150843966,0,0,0.0474905196684637,0,0,0,0,0,0,0
DOGE,0,0,0.0200833248767815,0.0636147851936569,0.0474148782869479,0,0,0,0.096393480563057,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0.135203700327962,0.157013069307811,0.260077963452016,0.1531298974917,0,0,0,0,0,0.0000299720358964538,0,0,0,0,-0.100134889387236
NEO,0,0,0.225584728504383,-0.0952733940671669,-0.0752959191908402,0,0,0.109208310538014,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0958745298474783,0,0.208959726465693,0,0,0.000000000000000000216840434497101,0,0,-0.0209323156983749,0,-0.0341887377931999,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,-0.000000189768542315836,0.0000000230449639128304,0,0.00000000897277239096651,0,0,0,-0.0000000190490084015919,-0.0000000159584837503098,0,0,-0.0000000457534155223317,0,0.0665268388091191,0.0173875439899671,0,0,-0.0107569010514743
SPX.INDEX,0,0,0,0,0,0,-0.0000000417606175132628,0,0,0,0,0,-0.0000000613367294263962,0,0,0,0,-0.0329260391659491
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
