,BTC,ETH,XRP,LTC,XEM,DASH,ETC,XMR,XLM,DOGE,ZEC,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.0530256753337033,0.210215853706774,0.535545725897149,0,0.0256035530155688,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.427512404309843,0,0,0,-0.144886742484934,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.0874721599443202,0,0,0,0,0,0,0,0,0
XEM,0,0,0,-0.0455995896656224,0,0.0761081532906834,0,0,0,-0.111800805905754,0,0,0.253723784119578,0,0,0,0,0
DASH,0,0,-0.111782811253185,0,0.0184727956688032,0,-0.153231670500691,0.113636759561375,0.0884276280522363,0,0.15002726716244,0.113445139168888,0,0,0,0,0,0.0255319263811965
ETC,0,0.401066577126247,-0.0280711888539678,0,0,0,0,0,0,0,0.0254711497423191,0,0,0,0,0,0,0
XMR,0,0.330908421162302,0,0,0.0364022601445368,0,0,0,0,0,0,0,0.0233987966468017,0,0,0,0,0
XLM,0,0,0.367721107884275,0.0759728865001036,0,0,0,0,0,0.199861396863881,0,0,0.10300951258444,0,0,0,0,0
DOGE,0,0.0633535847812121,0.167504739682776,0.0689873137959033,0,0,0,0,0.146428082133375,0,0,0,0.0366427564558988,0,0,0,0,0
ZEC,0,0.091529474314349,0.0196811901464924,0,0.112910464325637,0.0675654132405673,0,0,0,0.0542084797833568,0,0.111289047677728,0.000000000000000000867361737988404,0,0,0,0,0
NEO,-0.0679130452284799,0,0,-0.0753085960230605,-0.0463430937321782,0.0694129969483172,0,0,0,0.0673778512575561,0.394059487893225,0,0,0,0,0,0,0
DGB,0,0,-0.24907379228804,-0.101456907317678,0.149887458559483,0,0,0,0.433045224219936,0.239655012623802,-0.0491453381239293,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000000111085714455648,0,0,0,0.000000183936970661681,0,0,-0.000000032481863079144,0,0,0,0,0,-0.0204742541862369
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
