,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0.105089024403215,-0.010941237843614,0,0.033918745484959,0,0,0.059199264157233,0,0,0,0,0
ETH,0,0,-0.0481394640483077,0,0.176281823710376,0.0259101630117954,0.0626907597061938,0,0,0.129310584350909,0.0733379274008948,-0.0013518452218337,0,0,0,0,0,0,0.00742135584172814
XRP,0,0,0,0,-0.284128388465893,0,0,0,0.521244910231785,0.0241787278374894,0,0,0,0.119279609920905,0,0,0,0,0
XEM,0,0,-0.147820576711605,0,0,0,0,0,0.263595802084254,0.14516170988069,0.0138876672614751,0,0,0,0,0,0,0,0
ETC,0,0.332720231672448,-0.0352062915852226,0,0,0.0332504520554317,0,0,0,0,0,0,0,0.253624914540698,0,0,0,0,0
LTC,0,-0.192676667160258,0,0.00231815685094873,0,0,0.0601092765992222,0.277524755044786,0.065744800030291,0,0.0974819122670473,-0.0744257460500563,0,0.158918164011784,0,0,0,0,0.0540455135524979
DASH,0,0.0697758545653184,-0.0736748272508552,0,0,0.0371890834005334,0,0.238143772287241,0.00319332258324508,0.0824081453439211,0,0,0,0.0495622361604484,0,0,0,0,0
XMR,0,0,0,0.126816639121569,0,0,0.257227673903379,0,0.0344395068634426,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.449877426707943,0,0,0,0,0.137841697610182,0,0,0,0.00702474303801887,0,0,0,0,0,0,0
ZEC,0,0.233577026909494,0,0.0925671443651879,0,0,0,0.110470459222868,0,0,0.030500324453107,0,0,0.0127346111420848,0,0,0,0,-0.0118943929442336
DOGE,0,-0.000000000000000000216840434497101,0.177389754541244,0.0546546695463973,0,0.140882091400326,0,0,0.0519196826515963,0.12062863016224,0,0,0,0.0819818232002517,0,0,0,0,0
DGB,0,0,-0.312852587068162,0,-0.399229176621961,-0.123735696543528,0,0.21960804403672,0.238650273525995,0,0.483777532812368,0,0,0.0532355217238384,0,0,0,0,-0.494124203736486
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0.00859139419457192,0,0.365372625764192,0,0,0.213750144944974,0,0.092053147527327,0.0654224629816343,0.0105369320491315,0,0,0,0,0,0,-0.172260855090704
BV010082.INDEX,0,0,-0.00135067633314481,0,0,0,0,0,0,0,0,0.00846310962594892,0,0.0243509154165788,0,0,0,0,-0.0635841836405524
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.0000000497767791301937,0,0,0.000000810949393343473,0,0,0,0,0,0,-0.0213393743091798
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
