,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.102183261415461,0.010857643826356,0,0,0,0.0409301174405157,0.0121795446861719,0.11878134593209,0,0,0,0.00910360318113709,0,0,0,0,0
ETH,0,0,-0.0599158475679242,0,0,0.137604226341392,0.133949285110781,0,0,0.0551971869120579,0.135194524765685,0,0.0884766491249161,0,0.0149909973471095,0,0,0,0,0.114552129394291
XRP,0,0,0,0,0,-0.0246976223570148,0,0,0,0,0,0,0,0.44401162100081,0.000000000000000000867361737988404,0,0,0,0,0
LTC,0,0,0,0,0.152887004054816,0,0,0,0.157211149578455,0,0,0.11084103576404,0,0.0210949301076057,0,0,0,0,0,0
XEM,0,0,0.0368949444903839,0.153005934233573,0,0,0,0,0.0417143033875272,0,0,0,0.196276711241829,0.0718588658111228,0,0,0,0,0,0
ETC,0,0.526205042365676,0,0.025909826764437,0.0295186230864279,0,0.000000000000000000433680868994202,0,0,0,0.0194316134722794,0.0686238424550127,0,0,0,0,0,0,0,0
DASH,0,0.102009879852714,0,0.032321939469981,0,0.0775147593012851,0,0,0.225377818868412,0,0,0.0418347032114617,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0870275488215882,0.140667564982283,0,0.248755089719006,0,0,0,0,0,0,0.0907486275640477,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.345833377774166,0.0622330556073875,0,0,0,0,0,0,0,0,0,0.0584702698363596,0.0157727360949913,0,0,0,0,0,0
NEO,0,0,0,0.317687572563227,0,0.335130106378866,0,0,0,0,0.161058881728815,0,0,0,0.02668220722729,0,0,0,0,0
DOGE,0,0,0,0.11122431990639,0.248305622800094,0.032529918053904,0,0,0,0,0,0,0,0.0603467225219687,0.116498116238519,0,0,0,0,0
XLM,0,0,0.708110006484928,0,0,0,0,0,0.183937628836463,0,0,0.0438222849180324,0.0940717659526661,0,0.00404777900470429,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0.21755078123706,0.0294797095397546,0,0.000000000000000000867361737988404,0.253623172242201,0.392393764352785,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,-0.000000269884541368923,0,0,0,0,-0.0000000289468095896431,0,-0.0000000447421838856845,0,0,0.000000592588379554873,0,0,0,0,-0.016030415093738
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
