,BTC,ETH,BCH,XRP,DASH,LTC,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.067528476658541,0.0252686490358914,0.105139082906621,0,0,0.0271158569579156,0,0.0631093111483994,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.0800021630723334,0.00681208178806478,0.105188627352442,0,0,0.00290758348399953,0,0.0318416175721418,0,0.0669415533192458,0,0,0,0,0
BCH,0,0,0,0,0,0,0.52506130879959,0,0,0,0,0,0,0,0.0904108350871712,0,0,0,0,0
XRP,0,0.164470707967205,0,0,0,0.0882346053000859,0,0,0,0,0.011409023699988,0,0,0,0.180170519755277,0,0,0,0,0
DASH,0,0,0.00713641480672179,0,0,0,0.057832092586131,0.0367817681637615,0,0,0,0.165774484277633,0.0869007165821384,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.627912153632487,0,0,0,0,0.0539528586475248,0,0,0,0,0
XEM,0,0.161480733481935,0.0934612821336948,0,0,0,0,0.078376137735609,0,0,0.00175052828123794,0,0.135217203138328,0,0.139253330892598,0,0,0,0,0
MIOTA,0,0.243219650364903,0,0,0,0,0.123326267672696,0,0,0,0.00925359569993915,0.203327653061965,0.181137929852129,0.0277703177571805,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.00478451745334251,0,0,0,0.116686572508544,0,0,0.254190992113242,0,0,0,0,0
ETC,0,0,0,0,0,0.355989506366228,0,0,0,0,0,0,0.0462338127349577,0.0413036721480724,0.113745613011196,0,0,0,0,0
NEO,0,0.332122262148079,0.0363406196674881,0,0,0,0.182356257097367,0,0,0,0,0,0,0.436729491804862,0,0,0,0,0,-0.101224140823419
ZEC,0,0.307688375666078,0,0,0.109148898882409,0,0,0,0.0867967944786046,0,0,0,0,0.0481513479733846,0.0986701396490824,0,0,0,0,0
BAT,0,0,0,0,0.0268015782651516,0.0502785740950948,0,0.0619394882483926,0,0.186063291518508,0.309082575323741,0,0,-0.00000000000000000693889390390723,0.0962662072370377,0,0,0,0,0
EOS,0,0,0,0,0,0.0693921426557141,0.107413952705997,0.0412327230082735,0,0,0.0373598406809222,0.0108832977190101,0.0445359736660569,0,0.131531048680401,0,0,0,0,0
XLM,0,0.0393250533295593,0,0.18464298289727,0,0,0,0,0.24855172292953,0.214155342700839,0,0.197801704289839,0.101196645551378,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00465989193964598,0,0,0,0,0,0,0,0,0,0,0,-0.0105379179560192,0,0,0,0,-0.0397695257745055
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132512763691173
DXY.INDEX,0,0,0,0,-0.00702187192887155,0,0,0,0,-0.00466701383092389,0,0,-0.00354686628564655,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.000000352276122571776,0,0.000000234387733200911,0,0,0,0,0,0,0,0,-0.0397019456470916
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
