,BTC,XRP,ETH,BCH,ADA,LTC,MIOTA,XEM,DASH,XLM,XMR,EOS,NEO,BTG,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0184973618117804,0,-0.0400076945551817,0,0,0.0363322104840358,0,0,0.0631024420891003,0,0,0,0,0.117752362958265,0,0,0,0,0
XRP,0,0,0,0,0.0773861993764529,0,0,0.104717316740173,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0137179091997284,0,0.178962887058046,0,0.00000000000000000010842021724855,0,0,0,0.0568916114461046,0.0366284805171163,0,0.0727438853655969,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.029022181864143,0.301197400145009,0,0,0.124254656499274,0.0472155649240604,0.218920469409659,0,0,0,0,0,0
ADA,0,0.0924760968184026,0,0,0,0,0.0712611519701171,0.0512641346854826,0,0.56813579504451,0,0,0,0,0.0303514148769218,0,0,0,0,0
LTC,0.0811403707747758,0,0.251542997067315,0,0,0,0.0706070482919354,0.224350970699767,0,0.0207964645679868,0,0,0,0,0,0,0,0,0,0
MIOTA,0,-0.036477493014577,0,0,0.0500130934714292,0.169768002026492,0,0.143704110017735,0,0.216009159522673,0.130871487026305,0,0,0,0,0,0,0,0,0
XEM,0,0.112777673858676,0,0,0.0786880376292321,0.0316652798019183,0.041244408132612,0,0,0.194417272419182,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0908413393082944,0.0514436205674047,0.04372133995609,0,0.0187997894673408,0,0,0.0752964720328198,0,0,0.000000000000000000216840434497101,0.0419199456525898,0,0,0,0,0
XLM,0,0.00183048721660031,0,0,0.304524457627513,0,0.0777761269198082,0,0,0,0.17134278048001,0.0890634263289068,0,0,0,0,0,0,0,0
XMR,0,0,0,0.029840678644201,-0.00000000000000000173472347597681,0,0.111932097168166,0,0.175876569495082,0.139032857459392,0,0,0.0972727026691591,0.0297877627061144,0.0159786376745271,0,0,0,0,0
EOS,0.204009824037187,0,0.18468535873898,0.131721025206278,0,0.142158611400018,0.187798677060831,0,0,0.0711403763334646,0,0,0.164771103108529,0,0.0562131233274728,0,0,0,0,0.010003170211386
NEO,0,0.120385490882467,0,0.0204441969978017,0,0,0,0.0164663681301073,0,0.133918254626772,0,0.0570225016160993,0,0,0.0171246686682706,0,0,0,0,0
BTG,0,0.0335488507853551,0,0.5752062016399,0.0300463952845478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0.235371030579024,0,0,0,0.141152647552689,0.170512165970186,0,0,0,0,0,0.132131329769192,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00889257308788798,0,0,0,0,0.0106926078891187,0,0.00696504231967108,0,0,0.00595916716481336,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.0025512170041556,0,-0.000458092816020449,0,0,0,0,0,0,0,0,0,-0.00043141811166346,0.0021844565663586,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00000000446610935498161,0.00000000314486118457883,0,0,-0.000000200454986598586,0.000000207621614681743,0,-0.000000205827452103641,0,0,0,0,0,-0.0123762142043376
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
