,BTC,XRP,ETH,BCH,ADA,XEM,TRX,LTC,XLM,MIOTA,DASH,EOS,NEO,XMR,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0138533179228251,0,0.0287030338556154,0.0353896763058332,0,0.054281244872318,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.120661573660667,0.10789003438416,0.0375860591747974,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0530631431781816,0,0.0000000000000000000542101086242752,0.0573475177553689,0.1854223886112,0.0445763037630281,0,0,0.0510793160396002,0.0443371322837102,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.00766144711835031,0,0.00807342188972393,0,0,0.364669224816873,0.0882135111849293,0.0275014883756973,0,0.252517546209957,0,0,0,0,0
ADA,0,0.172567452503884,0,0,0,0.0459508946952045,0.00000000000000000173472347597681,0,0.497238333238974,0.0623082309361926,0,0,0,0,0,0,0,0,0,0
XEM,0,0.108078330904926,0,0,0.0470398724698095,0,0,0.050412175019966,0.262038962750499,0,0,0,0,0,0,0,0,0,0,0
TRX,0.442204110689554,0,0.121888449980957,0,0.117471008162156,0,0,0.161332316248429,0,0,0,0.102108715994725,0,0,0,0,0,0,0,0
LTC,0.17795393194707,0,0.35066891212967,0,0,0.234126180050079,0,0,0,0.048914161328474,0,0,0,0,0,0,0,0,0,0
XLM,0,0.0179962767189307,0,0,0.339124064151735,0.0396468477408585,0,0,0,0.082070689566905,0,0,0.00941046238768801,0.202392610276741,0,0,0,0,0,0
MIOTA,0,0,0,0,0.0626541347525172,0.144784673541363,0,0.13448996662697,0.122989901289708,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.112558193551976,0,0.00533487859247103,0.0843418941316926,0.116969562162676,0,0,0,0,0,0.0892813403086141,0.00722222323992232,0,0,0,0,0
EOS,0,0,0.173869761657184,-0.00000000000000000173472347597681,0,0.0152469672784034,0.148624363813551,0,0.00731267345312601,0.191257660525172,0,0,0.238610331482348,0,0.0339104302385063,0,0,0,0,0
NEO,0,0.0909009429115945,0.0298555635613186,0.0672182179986216,0,0.0165310908207026,0.00237045022056985,0,0.217165603744101,0,0,0.0372023527000858,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0260949845950844,0,0,0,0,0.151422677055262,0.0721568719293576,0.127963559895059,0,0.0638455915516963,0,0.00391396479588978,0,0,0,0,0
BTG,0,0,0,0.506476742296949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00797688798311963,0,0.00572294504500493,0,0.0103339856898472,0,0,0.00733358271397834,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.00299275379883866,0,-0.000897711415531839,0,0,0.00275752382774691,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.000000119481201298977,0,0,-0.0000000452866790807837,0,0,0,0,-0.00707594948557886
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
