,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,XMR,MIOTA,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.023813007432737,0.118994325984016,0.0865124326371921,0.0111492029324205,0,0,0.0381579450510107,0.16719396965606,0,0,0,0.0499192227646277,0,0,0,0,0,0
ETH,0,0,0,0,0.159526273506552,0.160161346202338,0,0,0.0481066647035779,0,0,0,0.123036174590246,0.0449893593099301,0.043178077592816,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0239823621114936,0.20661137915383,0,0,0,0,0.127251195567646,0.122418670584706,0,0,0,0,0,0
BCH,0,0,0,0,0.176561457830664,0.00192023062490185,0,0,0.128893068269576,0.0356349031426961,0,0.0374152906051442,0,0,0.0226549814578749,0,0,0,0,0
LTC,0,0,0,0.167464948576748,0,0,0.0040823395162279,0,0.063099963024915,0.0807546660018263,0,0,0.0228801340617301,0.0127943774225554,0.104465394318919,0,0,0,0,0
NEO,0,0.0398826130083239,0,0,0,0,0.116759798326828,0.0950001617218175,0,0.133196181745132,0,0,0.156885533498957,0,0.0447687330900076,0,0,0,0,0
ADA,0,0,0.107174799390458,0,0,0,0,0.27788080905221,0.0639386534344692,0.0570146035963287,0,0,0.0781204108163907,0.0641353798612491,0,0,0,0,0,0
XLM,0,0,0.178680294021117,0,0,0,0.387005746138398,0,0,0,0,0,0.150134858611265,0,0.0257724135219395,0,0,0,0,0
EOS,0,0,0.0973983580166092,0,0,0,0,0.117960320086175,0,0.100029714927748,0,0,0.0114670243147554,0.067513049629885,0.174638343182891,0,0,0,0,0
XMR,0,0,0,0,0,0.176140271171742,0.148796167452187,0,0.0274121817827943,0,0,0.229525887510065,0.0203053553608048,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0997579295725798,0.161412016203779,0,0,0,0.046059562131977,0.0679151144627386,0,0,0.05996952701714,0.0746111211343058,0.288909076648428,0,0,0,0,0
DASH,0,0,0.131573807850257,0.132077145115004,0,0,0,0,0.0666064473348481,0.28037817969244,0,0,0,0.0826639575579876,0,0,0,0,0,0
XEM,0,0,0,0,0,0.0567459714083301,0.14661196915004,0.0439452224812397,0.188951397464717,0.0737970574284371,0,0,0,0.0796005474163743,0,0,0,0,0,0
TRX,0,0,0.638858358227042,0.107727852074991,0,0,0,-0.00000000000000000346944695195361,0.031511073839631,0,0.117708083890483,0,0.0960314180694262,0,0,0,0,0,0,0.0289390429133959
ETC,0,0,0.151400440484046,0.0703883660666883,0.00000000000000000346944695195361,0.292058604914589,0,0,0.219288113942884,0,0,0,0,0.0616989518511417,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.0173873737035265,0,0,0,0,0,0,0,0,0,0,-0.0219289271406524
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522856027380682
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651262145665
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
