,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0219539075075927,0.140975054405984,0.0852834891906592,0,0,0,0.114350103529517,0,0,0,0.0035776897760386,0.0546988069723013,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0225021845895145,0,0.0377297525072865,0.0659707268900998,0,0,0.149881833044359,0.0230293877031751,0.147701267492978,0,0,0,0,0
XRP,0,0,0,0,0,-0.000000000000000000433680868994202,0,0.24958479535453,0,0.00311740387401389,0.0446979109190031,0,0.0808487728331772,0.132895731219576,0,0,0,0,0,0
BCH,0,0,0,0,0.187855085633841,0,0,0,0.0408675964509681,0.126154071502716,0,0.0296354316536117,0,0,0.0400836546219048,0,0,0,0,0
LTC,0,0,0.0375525752285049,0.161729441342864,0,0,0,0,0.075306296104201,0.0787761358684117,0,0,0,0,0.0963619265979423,0,0,0,0,0
ADA,0,0,0.147363673651087,0,0,0,0,0.339475265079868,0.0357949941984418,0.0496051331562146,0,0,0.0589407685690164,0.0297361473137361,0,0,0,0,0,0
NEO,0,0.253076349599002,0,0,0,0.0144282836937642,0,0.23282018817514,0.064119173462454,0,0.135291707534508,0,0.0435201674432641,0,0.152991182132526,0,0,0,0,0
XLM,0,0,0.136863425711033,0,0,0.382947968020365,0,0,0,0,0,0,0.146364100163003,0,0,0,0,0,0,0
XMR,0,0,0,0,0.0700796363793157,0.0905559000736299,0.194401070505034,0,0,0.0362037133086121,0.0163529829007752,0.269552478026976,0.0709035633060169,0,0,0,0,0,0,0
EOS,0,0,0.0721389385699864,0,0,0,0,0.138687257621609,0.0913180924111328,0,0,0,0,0.0689975603753642,0.244959864324225,0,0,0,0,0
MIOTA,0,0,0,0.137260799735858,0,0,0,0,0.095692363839162,0.194147711429841,0,0,0.0363163965275962,0,0.16639494920237,0,0,0,0,0
DASH,0,0,0.0985597527125161,0.181923451987139,0.00168966918823671,0,0,0,0.283764029751068,0.0460324276428889,0,0,0,0.0885812624574848,0.000000000000000000867361737988404,0,0,0,0,0
XEM,0,0,0,0,0,0.140848845434045,0.0812654551139077,0.198006689994352,0,0.14881734000962,0,0,0,0.12008479440264,0,0,0,0,0,0
TRX,0,0,0.615108660430489,0.154056870924662,0,0,0,0,0,0.0463364485176528,0,0,0.116052509000789,0,0,0,0,0,0,0
ETC,0,0,0.17646127549453,0.013236695719682,0,0,0.0828899446735188,0,0,0.300810096641831,0,0,0,0.0319482143257389,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522856024594644
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651283628007
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
