,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0427600624736591,0.12340134914521,0,0.00970156906446311,0,0,0.108711935058759,0.0151510035640726,0.119349482750967,0,0.0805377466732123,0.0572208982629983,0,0,0,0,0,0
ETH,0,0,0,0,0,0.0759679707581254,0,0,0.072831521853984,0.103995708843685,0.0255257534483415,0,0.138634827037056,0.0242511830856805,0.129827556509866,0,0,0,0,0
XRP,0,0,0,0,0,0,0.000000000000000000867361737988404,0.243339268030411,0,0,0.0585903590825837,0,0.0726435101665682,0.129211759510671,0,0,0,0,0,0
BCH,0,0,0,0,0.144416050469562,0,0,0,0.0461694749990207,0.11429700705295,0.0391209459412315,0,0.048076739985317,0,0.110982807499932,0,0,0,0,0
LTC,0,0,0.0248935977489142,0.103010012133627,0,0,0,0,0.150889425218872,0.0854191840157339,0,0,0.0451803556095227,0,0.11365424751766,0,0,0,0,0
NEO,0,0,0,0.013634291049872,0,0,0,0.0839922572246432,0.0872281409250276,0,0.228392294052121,0,0,0,0.286631233067836,0,0,0,0,0
ADA,0,0,0.188939864423832,0,0,0,0,0.194328440116789,0.0565528700958498,0.0606355726277283,0,0,0.0441246013747039,0.100346082009454,0,0,0,0,0,0
XLM,0,0,0.261578672841701,0,0,0,0.302008357233338,0,0.0299473754682649,0.0681849443855404,0,0,0,0,0.053526850288892,0,0,0,0,0
XMR,0,0,0,0,0.214405853400053,0.154683737271785,0,0,0,0.0171388606106065,0,0.378051151339488,0.00918872765915796,0,0,0,0,0,0,0
EOS,0,0,0.0642388572366696,0,0,0,0,0.0767625290825071,0.12993073558137,0,0,0,0,0.144556723768822,0.2060183510042,0,0,0,0,0
MIOTA,0,0,0,0.259760165379138,0,0.0667996843336682,0,0,0.0326666726887079,0.159102632998438,0,0,0.144389972741191,0.016450616875669,0.0125931548332387,0,0,0,0,0
DASH,0,0,0.150400661191424,0.0105723107107036,0,0,0,0.0358468594659753,0.174812911881092,0.120009429316577,0,0,0,0.0704936780752534,0,0,0,0,0,0
XEM,0,0,-0.00000000000000000173472347597681,0,0,0.104760277311808,0.18352688196824,0,0.123569607864332,0.213577782967639,0.0359373708803252,0,0,0.0568089574980583,0,0,0,0,0,0
TRX,0,0,0.473781826699203,0.167396045612588,0,0,0,0,0,0.0016358747320143,0.213141869536958,0,0.111915821071929,0,0,0,0,0,0,0
ETC,0,0,0.151400440484046,0.0703883660666883,0,0.292058604914589,0,0,0,0.219288113942884,0,0,0,0.0616989518511417,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0172454184250838,0,-0.00837798145188679,0,0,0,0,0,0,0,0.00022587612321569,0,0,0,0,0,-0.0456524049146479
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166602393055313
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343007088932848
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651289002727
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
