,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,BNB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.103577760443946,0.00657657889413078,0,0,0.128147363748004,0,0,0.0047526948090022,0,0,0,0.049682887622695,0,0,0,0,0
ETH,0,0,0,0.148254270548364,0.0117607559620776,0,0,0.197858697945731,0.0337169853888085,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0789832376135374,0.0779441008755925,0,0,0.0945664828988381,0.0186409868180223,0.0414715351705076,0,0,0,0,0.29488198204977,0,0,0,0,0
BCH,0,0,0,0,0.160954538596668,0,0,0,0.36012806187446,0,0.0767789564674451,0,0.119267239076892,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.372582433014319,0,0.236791403485368,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.0549506289252582,0.22239300015862,0.0205307591206926,0,0,0.0626360007839786,0,0,0,0,0,0,0.113467636256985,0,0,0,0,0
XLM,0,0,0,0,0.121522750566077,0,0,0.345148914284209,0,0.0248717360123917,0.0919573607024667,0,0,0,0,0,0,0,0,0
ADA,0,0.0334176800581165,0,0.182662161384464,0.113033345799935,0,0.176302617218284,0,0.0588557051986743,0.0750694031480845,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.098258914413646,0.0659071966884726,0.287742525375642,-0.00000000000000000346944695195361,0,0.0411817045823045,0.223763215248056,0,0,0,0.124886963583135,0,0,0,0,0,0,0,0
TRX,0,0,0,0.0483299296191883,0.207267824980003,0,0.20252297791091,0.254682329286741,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0465844786361804,0.106419245376225,0,0.0295462466321203,0.043234666720052,0.0926461788929808,0.104772812585567,0,0,0,0,0.0903419216419049,0,0,0,0,0
DASH,0,0,0,0.274728876595161,0,0,0.070198264030969,0,0.0518864224370422,0,0.0302000610420266,0,0.101176676975005,0,0,0,0,0,0,0
XMR,0,0,0,0.285536995328113,0.122946024632902,0,0,0.0141334703283131,0.0154632814662349,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0199895834770817,0,0,0,0.244146828968262,0.094402113556596,0,0,0.0319443287256601,0,0,0,0,0,0,0,0
XEM,0,0,0,0.101613341910202,0,0,0.0864297585594976,0.0475028822700223,0.0529077265915788,0.0718775407767702,0.280651094046059,0,0.0530421629433549,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0.00558357622449547,0,0.0110386558609042,0,0,0,0,0,-0.00994177511657933,0,0,0,0,0,0.0260416060525146,0,0,0
SPX.INDEX,0,0,0,0,0.0000000918056747294481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0653519558365626
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
