,BTC,XRP,ETH,XLM,BCH,EOS,LTC,BSV,ADA,TRX,XMR,MIOTA,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0265536860073157,0,0,0,0,0.00500826865655787,0.0224815661507211,0.080267147903671,0,0.0996331669541868,0.0621420371442494,0,0,0,0,0,0,0
XRP,0,0,0.268209801846206,0.088100412371851,0,0,0,0,0.0561008776716908,0,0,0.116883982630915,0,0,0.0215855065130692,0,0,0,0,0
ETH,0,0.0675160182394083,0,0,0.124211202463142,0,0.0997797104250617,0,0.142381248212335,0.0430925097457743,0,0,0,0,0,0,0,0,0,0
XLM,0,0.225317355223241,0,0,0.141023752306863,0,0,0,0.376604054793851,0.0718473151038361,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0.288012813028336,0,0,0,0,0.0450362328185196,0.370719599867133,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.0227583850617971,0.167868599127357,0.125855140708202,0.0731276695303094,0,0.103928230294044,0,0,0.0147330937022158,0,0.0397839662933753,0,0,0,0,0,0,0,0
LTC,0,0,0.406117991787198,0,0.0143557549757462,0,0,0,0.193579207827163,0,0.0457291222840455,0.0143188446547531,0,0.0279637476371012,0,0,0,0,0,0
BSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.0126842997430235,0.0539352419075946,0.227577764588632,0,0,0,0,0.195760214048691,0,0.16745200685393,0,0.00867544578597669,0,0,0,0,0,0
TRX,0,0,0.262486103946054,0.0434671381370441,0,0,0,0,0.229756071765841,0,0,0.190222410605284,0,0,0,0,0,0,0,0
XMR,0,0,0.154414150353806,0,0.00221642485417074,0,0,0.00852060060503757,0.180769874834344,0,0,0.166483671157656,0,0.0238159592700156,0,0,0,0,0,0
MIOTA,0,0,0,0,0.200851484035333,0,0,0.0206716103937842,0.1318480470342,0.121711144353223,0,0,0.0144672086697654,0,0,0,0,0,0,0
BNB,0,0,0,0,0.0833783092285197,0,0,0,0,0.136194776748854,0,0.0526943059165309,0,0,0,0,0,0,0,0
DASH,0,0,0.0427241149595836,0,0,0,0,0,0,0.102478849892848,0,0.0837611109753928,0,0,0.117198130758571,0,0,0,0,0
XEM,0,0,0,0,0.0548604789574431,0,0,0,0,0.146720721382408,0,0.207408694232164,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804683
CVIX.INDEX,0,0,0,0,0,0,0,-0.000000759938565994501,0,0,0,0,0,0,0,0,0,0,0,0.0642949980939765
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104189940989486
VIX.INDEX,0,0,0,0,-0.00000358510724333817,0,0,0,0,0,0,0,0,0,-0.00000167711360953713,0,0.199416489180639,0,-2.55361202606877,0
