,BTC,ETH,XRP,EOS,LTC,BCH,BNB,XLM,TRX,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0968220170969079,0,0.0608056773127375,0.017101899649377,0.0709574822206753,0,0,0,0,0.033028863365663,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.165931732187441,0.12876235124419,0.183316908658943,0,0,0,0,0.0620990468523856,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.19150927019572,0.0677040997901955,0.000332338351440045,0,0,0,0,0.201123244583809,0,0,0,0,0,0,0,0,0
EOS,0,0.0922395453865174,0,0,0.0974251040893473,0.106531925209345,0,0,0,0,0.340773038738949,0,0,0,0.0134639625949717,0,0,0,0,0
LTC,0,0,0,0.214931475988192,0,0.12085978937488,0.0412507940132544,0,0,0,0.296786624730135,0,0,0,0,0,0,0,0,0
BCH,0,0.172823473509222,0,0.219364011891625,0.231754097484925,0,0,0,0,0.0865763471033146,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0.316511299849031,0,0,0,0.256916842278281,0,0,0.0671754125585009,0,0,0,0,0,0,0,0
XLM,0,0.130370321625966,0,0.000000000000000000216840434497101,0.0673904729152892,0.180536049191008,0,0,0,0,0.181346813670958,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0,0,0,0,0.0940239335609577,0.408438953150988,0.0465033273340607,0,0,0,0,0,0,0,0.0103297964197607
BSV,0,0.0424658474583723,0,0.0223862082163924,0.00357420771926864,0.366839814516382,0,0,0,0,0.0485234307087022,0,0,0,0,0,0,0,0,0
ADA,0,0.243753880996744,0,0.275765729315849,0.140428879764719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.197818854795269,0,0.263481660865688,0.025990232800842,0,0.0503370826440359,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.113659740927926,0,0.217809851277051,0,0.208533854824007,0,0,0,0,0.105913706083072,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.34143017410503,0,0,0,0,0,0,0.0582648779411387,0,0.0862823787307731,0,0,0,0,0,0,0
MKR,0,0.413897117995662,0,0.264597175687087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0915442687929461
VIX.INDEX,0,0.0122789980411253,0,0,0,0,0,0,0,0,0,0.00606452775882324,0,0,-0.0173843417028496,0,-0.162066813767814,0,-1.95202037781112,0
