,BTC,ETH,XRP,LTC,BCH,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0275317840638136,0.0431782528497216,0.0826198218224398,0,0,0.0320517377336707,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.209549342566155,0.0663210195517969,0.139611321366364,0,0,0.0511701060737103,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.129683584423379,0.00224313354976696,0.148976652614849,0,0,0.0182844019511197,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.432524160066454,0.214029034007915,0.0255400440832431,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.304760817614507,0,0.112866256442015,0,0,0.0244990391005797,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.20713648622554,0,0.397276952412141,0.0121672864666147,0,0.018247244085856,0,0,0,0,0.0753278482646304,0,0,0,0,0,0,0,0
BNB,0,0,0,0.557130440766115,-0.164237972045508,0,0,0,0,0,-0.267361954149806,0.328274602287909,0.130456514291289,0,0,0,0,0,0,0
XLM,0,0,0.167543921565478,0,0.0412979609423135,0.107593243404412,0,0,0.073748126891936,0,0,0.0953805242824913,0,0,0,0,0,0,0,0
ADA,0,0,0,0.113388386465611,0.241247391454629,0.228502572909775,0,0,0,0,0,0,0,0,0.0270805903882314,0,0,0,0,0
TRX,0,0,0,0,0.0329161068381573,0.0726507563162839,0,0,0.0530683834708984,0,0.101528352774495,0.140674112300773,0.0570626348308877,0,0,0,0,0,0,0
BSV,0,0.0690728483175655,0,0.112635433756102,0.122878243480499,0.0943476301926863,0,0,0.0421487930111818,0,0,0.0198184302211226,0,0,0.0422073658071002,0,0,0,0,0
XMR,0,0.215939631685844,0,0.0606952803975047,0,0.165362006848137,0.0173339373954488,0.0536432664731761,0,0,0,0,0,0.0170420198465629,0,0,0,0,0,0
DASH,0,0,0,0.0388339313366576,0,0.190620446141429,0,0,0.0904121408930606,0,0.0124565363014582,0.194940072680127,0,0,0.0624951032228458,0,0,0,0,0
MIOTA,0,0.0492617326522763,0,0.0984984328557119,0,0.200958895540136,0,0,0.0662255763096281,0,0,0,0,0,0.0256292718399908,0,0,0,0,0
NEO,0,0,0,0.0554130809367818,0.151577217272661,0.0888136697624218,0,0,0.0314265099904698,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0739833738822407
VIX.INDEX,0,0,0,0.00245922534446519,-0.0127040598827307,0,0.0000326445809550678,0.00144676447846064,0,0,0,0,0,0.00165431941538835,0,0,0,0,-1.11755566200937,0
