,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,BSV,TRX,XMR,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0248672963898874,0.107065227899698,0,0.0315063858123842,0,0,0,0,0,0.174177590350303,0,0,0.0159648756974378,0,0,0,0,0
ETH,0,0,0,0,0,0.169561099297541,0,0.0853192089895141,0.0629526672573261,0.0226423481128236,0,0,0,0,0.0647978853434747,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.0974726741941112,0.00101690492634328,0,0.228707942005164,0,0,0.0503927537248085,0,0,0,0,0
BCH,0,0,0,0,0.326490468864825,0.331451944816798,0,0,0.0582358007189587,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.451936225381079,0,0.118743079451587,0,0,0.012017508665121,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.139263301437846,0,0.249386095974205,0,0,0,0,0,0.00351764519013958,0,0.169580978119562,0,0,0.0410140268374932,0,0,0,0,0
BNB,0,0,0,0.0573094632701764,0.00000000000000000693889390390723,0,0,0,0,0.162078858313537,0,0.200996126417653,0.117974563179818,0,-0.0542243178810927,0,0,0,0,-0.0858429973074032
XLM,0,0.1887223907143,0,0,0,0,0,0,0.149836214846994,0,0,0.0588106690843133,0.111522772092472,0,0.0218795441288855,0,0,0,0,0
ADA,0,0,0.250701834884814,0.345469928573684,0,0,0,0,0,0.00528299901261351,0,0.0412384096626845,0,0,0.0407839429539648,0,0,0,0,0
BSV,0,0,0,0.0934685539764166,0.225720540319583,0,0.0376362301094994,0,0,0,0.0767637485474451,0,0,0.111359496210102,0,0,0,0,0,0
TRX,0,0,0.14412889325502,0.00171019447594439,0,0.0503730752549364,0,0.135081786398167,0.143454233676264,0.0303892037651267,0,0.0494707265529309,0,0,0,0,0,0,0,0
XMR,0,0.167553170807676,0,0,0.0804700920540342,0,0,0.0191434376168744,0,0.0351232155214464,0,0,0.360429866537238,0.0311497817533298,0,0,0,0,0,0
DASH,0,0,0,0.0628482538289007,0,0,0,0.123352874317139,0.0196216016257207,0,0.0552023957628329,0.250343387250576,0,0,0.0324968012536492,0,0,0,0,0
MIOTA,0,0,0.0455470092518254,0,0,0,0,0.0493173492956762,0.0506240310683007,0.0517334415118216,0,0.381710505157329,0,0,0.0819216893838362,0,0,0,0,0
XTZ,0,0.0563569513094639,0.137133787108695,-0.154793234334177,0,0.297943943816693,0.000000000000000000433680868994202,0.265441287345621,0,0,0,0.347561738377686,0.0755817380796796,0,0,0,-0.432302349497161,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0535285855848769
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618169433382924
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
