,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,ADA,XLM,TRX,XMR,DASH,MIOTA,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0438166168517404,0.10489531518744,0,0,0,0,0,0.293204431940349,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.207552486973831,0,0,0.108918629866772,0.192324888870754,0,0.114244437015871,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.192783660851882,0,0,0.156925267099808,0,0,0.0637346404689493,0,0.0241385910378013,0,0,0,0,0,0
LTC,0,0,0,0,0.188415681759182,0.24585033735243,0,0,0.0203941907831283,0,0.0737937245581424,0.120452294034315,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.269207555447243,0,0.0215727591460603,0.127441482072139,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.231159313519455,0,0.16974832490684,0.252189936430831,0,0,0,0.0154067110058704,0,0,0,0,0,0.0258182382718439,0,0,0,0,0
BNB,0,0,0,0.232591577353646,0.0242611930718699,0,0,0.0181321920461918,0,0,0,0,0,0,0.120418769542167,0,0,0,0,0
BSV,0,0,0,0,0,0.109664432253264,0,0,0,0,0.394983584404182,0,0,0.27302011802874,0,0,0,0,0,0
ADA,0,0,0,0.0770122269811479,0,0.181902027425892,0,0,0,0,0.30070398650583,0,0,0.0687782382869354,0,0,0,0,0,0
XLM,0,0.0641763924655323,0.0694597574468142,0.0683287146295017,0,0.0133230035667666,0,0,0.296934128085107,0,0,0,0,0.0217269087996772,0,0,0,0,0,0
TRX,0,0,0.156415703653676,0,0,0.227727382487611,0,0.0254191660593816,0.287936854937776,0,0,0,0,0,0.00979657194347188,0,0,0,0,0.0701273359400207
XMR,0.265640763492277,0.254193135744425,0,0.0930961397497334,0,0,0,0,0.049138635989174,0,0.0511844584203908,0,0,0.0368953940234521,0.00170089223677669,0,0,0,0,0
DASH,0,0,0,0,0,0.126639138210884,0,0,0.227554871795745,0.0641928482530524,0,0.0695422374327603,0,0.0388847210681994,0.0234379312146289,0,0,0,0,0
MIOTA,0,0,0.211651508422811,0,0,0.205293825901472,0,0.121806455498683,0.185661398100392,0,0,0,0.00684847239365618,0,0,0,0,0,0,0
ATOM,0,0,0,0,0,0.101032052575954,0.239318899674461,0,0,0,0.0804430400027878,0.149217145052176,0.00283376240125583,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053528585584877
CVIX.INDEX,0,0,0,0,0,0,0,-0.0349011571120478,0,0,0,0,0,0,0,0,0,0,0,0.0546763485127384
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618147152314493
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
