,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,TRX,ADA,XLM,XMR,LEO,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.467042473331847,0,0,0,0.028595386961994,0.0462328703921164,0,0.0480804744404753,0,0.0272245486854013,0,0,0,0,0,0
ETH,0.235939092634795,0,0,0,0.026326269274577,0.164620443824595,0,0,0.00887399289792482,0.294522641019454,0,0,0,0,0.0260567692940997,0,0,0,0,0
XRP,0.0252704236606782,0,0,0,0.0354898557779801,0.149260963950581,0,0,0,0.244434438696396,0,0.0299826198780671,0,0,0.000403805850715327,0,0,0,0,0
LTC,0.118512145879283,0,0,0,0.0978691127774182,0.2799755862516,0,0,0,0.0932910431057574,0,0.0557777253762208,0,0,0,0,0,0,0,0
BCH,0.178847202919523,0.0869060631544656,0,0,0,0.149844093022476,0,0.0252540381194012,0,0,0,0,0,0,0.0516998594731107,0,0,0,0,0
EOS,0,0.111327745727361,0.224242870600653,0.0779960482839459,0.265561924185794,0,0,0,0.0416310922497824,0,0,0.0403136093510494,0,0,0,0,0,0,0,0
BNB,0,0,0,0.185509292482587,0.0825780769628274,0,0,0.0309824066162311,0,0,0,0.124355657760599,0,0,0,0,0,0,0,-0.0519565935585155
BSV,0.0992367342330255,0,0,0,0,0.196136250742857,0,0,0.481306156941883,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.105923734448951,0,0.0262955556933414,0,0.466245465616415,0,0.00814626048469672,0,0,0.145430512573987,0,0,0,0,0
ADA,0,0,0.272633072825644,0,0,0.12115817915229,0,0,0.228912993125757,0,0,0.0226319774525462,0,0,0.00334128920070364,0,0,0,0,0
XLM,0,0,0.15415380525924,0,0,0.0410359921729577,0,0,0.0147603085001321,0.280484599496927,0,0,0,0,0.0337810381894538,0,0,0,0,0
XMR,0,0,0,0,0.104755331697852,0.0970101742009921,0,0,0.0506014110155641,0.218133400490949,0,0,0,0,0.00000000000000000010842021724855,0,0,0,0,0
LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0.0683968811193353,0,0,0.000380130487060124,0.105413466466323,0,0.136012440462486,0,0,0.114197879111069,0,0,0,0,0
NEO,0,0,0.0653809666175263,0,0.159035844644733,0.024758359423104,0,0.0105060792676232,0.0996468450808054,0.395465694596513,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053528585584877
CVIX.INDEX,0,0,0,0,0,0,0,-0.0355356821219893,0,-0.00969572734618526,0,0,0,0,0,0,0,0,0,0.0685346656646054
DXY.INDEX,0,0,0,-0.00000000300323090724237,0,0,0,0,-0.00000000121651023670723,0,0,0,0,0,0,0.0209362442812665,0,0,0,0.00121330612364248
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618146039807026
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
