,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XLM,TRX,XMR,ADA,LINK,LEO,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0750283997067314,0,0.0876583810136669,0,0.192921912719613,0.124448524689272,0.0249775860549832,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0873093579438973,0.110393087239004,0,0.247670877070063,0,0.0125035591483089,0.0464744892512547,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0728276109690677,0,0,0.148628847728031,0,0.231636396040798,0.066672013175461,0,0,0.0285025094506253,0,0,0,0,0,0,0
BCH,0,0.180928889289248,0,0,0.142423719532246,0,0,0.229288903968543,0,0.132906986428354,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.208354753357853,0,0,0.214727816509736,0,0.156253542803426,0.0206306429377445,0,0.028228402863516,0,0,0,0,0,0,0,0
BNB,0,0,0,0.172780069487835,0,0,0,0,0.042264265748543,0.12341553262699,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.1443052994854,0,0,0.040130874258851,0,0.157391383527243,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.460641362630609,0,0,0.0934944782466167,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.370811249106041,-0.00000000000000000173472347597681,0,0,0,0.0870228370668503,0,0.135655109976051,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0.125052245620857,0.23557965805919,0,0,0.0528518027680122,0,0.0420528134144692,0,0,0.399984467434655,0,0,0,0,0,0,0,0
XMR,0,0,0,0.347868178352396,0,0.0620757230630292,0,0.110844329515938,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,-0.000000000000000000433680868994202,0,0.087973106295902,0.172273708489397,0.0720076533137627,0.00738981085630202,0.211360136199786,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0.145262092587899,0,0,0,0,0,0,0.0966079134420312,0,0,0,0,0,0,0,0,0,0.106493159677485
LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HT,0,0.0394322999886331,0,0.063238372945652,0,0.101221090516753,0,0,0.0260885380933652,0.0729557125938695,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159974515167088
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110514574916749,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0771236547147776
VIX.INDEX,0,0,0,0.00000659704102995744,0,0,0.00000723497713119264,0,-0.00000437797918546637,0,-0.00000782868433176109,0,0,0,0,-0.583534420997612,-0.389460688294548,0,-2.25134673143946,0
