,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,LEO,XTZ,XMR,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.112302352488605,0,0.0917074213831973,0,0.0823229308108069,0.20223558207182,0.0299662992505313,0,0.00127586574519722,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0685843826118815,0,0.355261009260235,0.0947215368242642,0,0,0.0305952105993864,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.288744320644595,0,0,0,0.137351970249424,0,0,0,0,0.0023640739402062,0,0,0,0,0
BCH,0,0,0,0,0,0,0.112817096516029,0.230835918030432,0,0.250650650563824,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.194961800538515,0,0.436129913095007,0,0.016768539267284,0,-0.00000000000000000173472347597681,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0370126941584802,0.113550204010273,0,0,0.0332665483275294,0,0.273273653418623,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.223475656920551,0,0,0,0,0,0.141743585207459,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.45674858545803,0,0.0418260776310059,0,0,0.100449092396875,0,0.0690532654981837,0,0,0,0,0,0,0,0,0
XLM,0,0,0.166018461477889,0.0306890714769157,0,0,0.0129025579459938,0.0938019765091764,0,0.221199890039646,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.458526311046361,0,0.31797414709328,0,-0.00000000000000000346944695195361,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0.30132654467521,0,0.105155273590365,0,0.171732580973549,0,0,0,0,0,0,0,0,0,0
LEO,0.0695329601080074,0,0,0,0.089670191345102,0,0,0,0,-0.0328113654359574,0,0,0.0202808809409575,0,0,-0.0604602259438398,0,0,0,0
XTZ,0,0,0,0.00351998908534897,0,0.406610472295135,0,0.0490284154682638,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.4039826379154,0,0,0,0.0824168613636819,0,0.0254650301923558,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0.169232133011718,0,0,0,0,0.0593253686751581,0,0.0458339827918552,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0307696582289147,0,0,0,0.0212385735965748,0.0417759551804632,0,0,-0.0506479170389482,0,-0.0572721404623585,0,0,-0.178390037610636,0,0,-0.180862769490955
CVIX.INDEX,0,0,0,0,0,0,0,-0.000000206594069773772,0,0,0,0,0,0,0,-0.130932581752459,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0.0000000000000000000000529395592033938,0,0,0,0,0.0175128749922992,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0859287093209388
VIX.INDEX,0,0,-0.00000177600681265534,0,0,0,0,0,0,0,0,0,0,0,0,-0.192310403788325,0,0,-1.48856953192993,0
