,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,XTZ,ADA,TRX,XMR,LEO,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0804516092251177,0,0.266998283545879,0.0561383253737363,0,0,0,0,0.0220441123779449,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0259298017810289,0,0.279668497962358,0,0,0,0,0,0.0581741411708788,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0889968379789682,0.104906475272186,0.117420424245468,0,0,0,0.0353476402924612,0,0.112781448938229,0,0,0.0516729713601611,0,0,0,0,-0.00280969491842872
BCH,0,0,0,0,0.0404272672651104,0,0.166651479653386,0.217225974154736,0,0,0,0.203314785760723,0,0,0,0,0,0,0,0
LTC,0,0,0,0.110035711667571,0,0.566269211178318,0,0.0192901410949539,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0157466205844474,0.341543254966281,0,0,0.0171740465664104,0,0,0,0.256353311648058,0,0,0,0,0,0,0,0
BNB,0,0,0,0.170852975942812,0,0,0,0,0,0,0,0.136472143895465,0,0,0,0,0,0,0,0
BSV,0,0,0,0.152351433520605,0.179973500473065,0.275450327726977,0,0,0.0191532629013832,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.202773269903959,0.124315380916125,0.027708268208357,0.0571509633789044,0,0,0,0.103480172344767,0,0,0,0,0,0,0,0.036629696719492
XTZ,0.206708908717279,0,0.540951749422084,0.0287493805672983,0,0,0,0.0222776976946123,0,0,0,0,0,0,0,0,0,0,0,0.150279187132077
ADA,0,0,0,0,0,0.313196092812218,0.082911249528703,0.0861635672753648,0,0.00567643489385936,0,0.120604293915051,0,0,0,0,0,0,0,0
TRX,0,0,0,0.459234830975892,0,0.32270473833346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.426736101825196,0,0,0.126821973876384,0.0272134345019328,0,0,0,0,0,0,0.044691434416814,0,0,0,0,0
LEO,0,0,0,-0.0110349491915571,0.11153562727328,0,0.0709261443091552,0,0,0.0166733386800895,0,-0.0285995684726146,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0.226904083391337,0,0,0,0.0602766751096141,0,0,0,0,0,0,0,0.102899756031604
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0719643323193054
CVIX.INDEX,0,0,0,0,0,0,0,0.000000750296339653099,0,0,0,0,0,-0.00000180006763964599,0,-0.223004234830072,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0.00000062206840376682,0,0,0,0,0.00000105171944470124,0.0287769513640932,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0519842702907491
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
