,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LEO,INNBCL,TAGZ5,XLM,HT,ADA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0550402088543219,0.0612032914240904,0,0,0,0.0405990654413912,0,-0.0010747477795157,0.0228476246286179,0,0,0.0778735849632582,0,0,0,0,0
ETH,0,0,0,0.303790267124636,0.00709293700836865,0,0,0,0.0857158442038704,0,-0.00124084066627077,0.0633210592764068,0,0,0.039032077666861,0,0,0,0,0
XRP,0,0.313137887976766,0,0.0901633198631219,0,0.11689236345685,0.013706074909092,0,0.0515035654441505,0,-0.000133495772967442,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.298754032662848,0.128510855047512,0,0,0,0,0.00194898628523567,0.0102561154275757,0,0,0.169450480368009,0,0,0,0,0
BSV,0,0,0,0.593807348130098,0,0,0.0768970290368535,0.0783326058541238,0.0460334332995367,0,-0.00655609898465901,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.297931588447575,0.0520408343678812,0,0,0,0.0407490817257808,0,-0.00272507422041602,0,0,0,0.190121713426487,0,0,0,0,0
EOS,0,0,0,0.194073171443716,0.0984801285109663,0,0,0,0,0,0,0,0,0,0.0881838895948961,0,0,0,0,0
BNB,0,0.0342188017701119,0,0.176444741228556,0.0970779825546699,0,0,0,0.167146097952587,0,-0.000963632996205814,0,0,0,0,0,0,0,0,0
XTZ,0,0.649002079946316,0,0,0,0,0,0,0,0,-0.0120940437133673,0,0,0,0.0656791281057184,0,0,0,0,0
LEO,0,0,0,0,0,-0.100246714540877,0,0.114006079562467,0,0,0.000118411752885163,-0.071763623869683,0,0,0,0,0,0,-0.0151792779653227,0.00682686801776222
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAGZ5,0,0.371492563771167,0,0.0555890014769958,0,0,0,0,0,0,-0.00331907015176713,0,0,0,0,0,0,0,0,0
XLM,0,0.176232763973826,0,0.195130726392981,0,0,0,0,0.243535333831966,0,0.00506248115709133,0,0,0,0.067888796690007,0,0,0,0,0
HT,0,0,0,0.116582440793666,0,0,0,0.262915252012693,0.0399459750418513,0,-0.000421267509174791,0,0,0,0,0,0,0,0,0
ADA,0,0.0921017231926118,0,0.17836626778372,0,0.12899205842984,0.107406308386176,0,0.124569086877538,0,-0.00364723171047586,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.0000685362172793154,0,0,0,0,0,0,0,0,-0.149142347372047
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,-0.000000181031946454877,0,0,0,0,0,0,0,0,0.114517723685783
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0.0000000375468878769094,0,0,0,0,0.0042326944965368,0,0,0,-0.0131883921445851
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0783192961872542
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,-0.000000817254487638213,0.00000356342398578705,0,0,0,-0.0178406138993185,0.0480008112925857,0,-2.5329785013502,0
