,BTC,ETH,XRP,BCH,BSV,LTC,ADA,EOS,BNB,CRO,XTZ,LINK,XLM,OKB,LEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0116512272112219,0,0,0,0,0.170781407523847,0,0,0,0,0,0.106583189705678,0.124071982778737,0,0,0,0,0,0
ETH,0.111014565249257,0,0,0,0,0.149278900036932,0.233584609435886,0.0147126142457747,0,0,0.124184269640634,0,0,0,0,0,0,0,0,0
XRP,0,0.160550498317751,0,0,0,0,0.134139450043883,0.0523564381390802,0,0,0.0385347731615858,0,0.0195274420676607,0,0,0,0,0,0,0
BCH,0.0568029901337866,0.453351542520147,0,0,0,0.0536088010657047,0.0589089290742336,0,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0,0.306248066305207,0,0.133821834774061,0,0,0.0364946448514439,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.236514231277497,0,0,0,0,0.199229089483807,0.132106641561872,0,0,0,0,0.0283168784342215,0,0,0,0,0,0,0
ADA,0,0.172749921133002,0,0,0,0,0,0,0,0,0.194014092241467,0,0.184159915497803,0,0,0,0,0,0,0
EOS,0,0.0581921598102725,0,0,0,0.307456635314163,0.0867074282543426,0,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0.080200340673077,0.283091133854088,0,0,0,0,0.0917555942198654,0,0,0,0.0789538454051069,0,0,0,0,0,0,0,0,0
CRO,0.0882486156392833,0.0712780070599596,0,0,0,0,0.222958319869368,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,-0.0279523142160219
XTZ,0,0,0,0,0,0,0.180690713699658,0,0,0.0225925595512311,0,0.554760531033039,0.0784855828359585,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0.0278478671955161,0,0,0,0.396473059434678,0,0.0598754756077513,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0.180634127781094,0.270547051946565,0,0,0.00866611766458228,0.190513414905919,0.208904795123295,0,0,0,0,0,0,0,0
OKB,0.232854779870589,0.301408776116235,0,0,0,0,0,0.105239834982051,0,0,0.00890913148002485,0,0.0129519906860569,0,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00373782313949937
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129998094016108
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.311675878313181,0,-2.65616488419798,0
