,BTC,ETH,XRP,LTC,BCH,LINK,DOT,ADA,BNB,XLM,BSV,EOS,XMR,WBTC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0147731336668275,0,0.00518457511337369,0,0,0,0,0,0,0,0.886812348651138,0,0,0,0,0,0
ETH,0,0,0.0517214331881266,0.0261707204697279,0,0.198799978967298,0,0.301737412356748,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.11891804926803,0.0181582845908057,0,0.0132047991377117,0.131175035923749,0,0.273816413643904,0,0.057035554107973,0,0,0,0,0,0,0,0
LTC,0.120600857938038,0.430941929534053,0.0272824945517966,0,0,0.0508945885066775,0,0,0,0,0.232579712848685,0,0,0,0,0,0,0,0,-0.0189469465288943
BCH,0,0,0.20736503863944,0.0557522849146888,0,0.163137198883075,0,0.012618379155284,0,0,0.36795390200857,0,0,0,0,0,0,0,0,0
LINK,0,0.0726015743532765,0,0.132932709654259,0.185937138556615,0,0.0821247228788385,0.150722808306796,0,0,0,0,0,0,0,0,0,0,0,0
DOT,0,0,0.1559178959845,0.132377760363315,0,0.339176794899674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0.25648504281771,0.1626142389125,0,0,0.278208334515582,0,0,0,0.102810599158238,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0.0513678051741234,0.0159261983384926,0,0.223497718361263,0,0.0592407842875265,0,0.0523872574951697,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.595558341272046,0,0,0.111571312658806,0,0,0,0,0,0,0,0,0.019112455354803,0,0,0,0,0
BSV,0,0,0.175938543147694,0,0.30055599779255,0,0,0,0,0,0,0.0148573884239584,0.0902074520878626,0,0,0,0,0,0,0
EOS,0,0,0.240700459099647,0.0848826291965885,0.0707479134137578,0.0636253196935902,0,0,0,0.0229831254318569,0,0,0,0,0.00932298339952033,0,0,0,0,0
XMR,0,0,0.0875237479524647,0.113746084081421,0.0314123993716947,0.0878101439342472,0,0.0502397909777975,0,0,0.0245305188976231,0,0,0,0,0,0,0,0,0
WBTC,0.868926211943849,0,0,0.0108685655305677,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.139032613924157,0,0,0.00995833402212339,0,0.149693965774613,0,0.19885278329245,0,0,0,0,0,0,0,0,0,-0.0653163477872712
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00427356797674738
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118402045353799
VIX.Index,0,0,0,0,0,0,0,0,0,-0.0330464071433081,0,0,0.0186020119865121,0,-0.0462578549852449,0,0.24384289112049,0,-1.77149133517411,0
