,BTC,ETH,ADA,XRP,DOT,BNB,LTC,LINK,XLM,BCH,DOGE,UNI,AAVE,WBTC,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.000889678555083635,0,0.00184870528855613,0,0,0,0.0039425371133464,0,0,0.798793384773758,0,0,0,0,0,0
ETH,0,0,0,0,0.127166328187555,0,0.175681052405009,0,0.113743067514451,0.0947493106334944,0,0.0161083921608347,0,0,0,0,0,0,0,0
ADA,0,0.0491984050808983,0,0,0.0502925919885433,0.0370611945718301,0.0919361656124976,0.057306457709771,0.39955930379893,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0683106248954243,0,0.228615644189533,0.0129913011589485,0,0,0.140018575132432,0,0,0,0,0,0,-0.0440186031376188
DOT,0,0.161676685101733,0.121200507887214,0,0,0,0.0859567830086512,0,0,0.0992814351124294,0.0256285504851401,0,0,0,0.0864955245790111,0,0,0,0,-0.0748914197031256
BNB,0,0,0.302191612270432,0,0,0,0.0274216929286249,0,0,0.0158759068826936,-0.00421489971098214,-8.470329472543e-22,0,0,0,0,0,0,0,0
LTC,0,0.157248992212351,0,0,0,0.00592421043962967,0,0,0.0438591442255126,0.127596580149807,0.0304166303642906,0,0,0.0871003260431442,0,0,0,0,0,0
LINK,0,0,0,0,0.0898563427300908,0,0.0851498866927773,0,0.258151233618716,0.228294821685164,0.010813903001742,0,0.0609030929719589,0,0.0210934230247861,0,0,0,0,0
XLM,0,0,0.369296348490137,0.239052334322111,0,0,0,0.141118014500659,0,0,0.03320307418256,0,0,0,0,0,0,0,0,0
BCH,0,0.113836507452135,0,0,0,0,0.443636860949466,0,0.0708396600615913,0,0.00183902264759429,0,0,0,0.083955171140691,0,0,0,0,0
DOGE,0,0,0,0,0,0,0,0,0.0952992571236057,0,0,0,0,0,0,0,0,0,0,0
UNI,0,0,0,0,0.0378933499169662,0,0.15809886427948,0.0631799420911771,0.0178518787402088,0,-0.0693862340417461,0,0.578323955078402,0,0,0,0,0,0,0
AAVE,0,0,0,0,0,0,0,0,0,0,0.0215740873097966,0.405611349082171,0,0,0.0832760910339445,0,0,0,0,0
WBTC,0.883324778803096,0,0,0,0,0,0.0346846019748328,0,0,0.00996262651003487,0.00250413791805919,0,0,0,0,0,0,0,0,0
ATOM,0,0,0.104746265850493,0,0.183273386003727,0,0,0.167414363876649,0.0512855084247822,0.0537745847017498,0.0131535081556489,0,0.0992004769492913,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,1.01306480309004e-06,0,0,0,0,0,0,0,0,0,0,-0.0462020377327993
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
